"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"COM SCI M282B - OSTROVSKY, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - BRIDGEWATER, D.A.",0.795,0.141,0.013,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - FERAMISCO, C.",0.318,0.182,0.182,0.136,0.091,0.091,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - KOCHIAN, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - MACK, K.S.",0.965,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 10 - SUMAN, M.W.",0.056,0.185,0.006,0.142,0.154,0.204,0.068,0.049,0.111,NA,0.006,0.012,0.006
"COMM 100 - BRYANT, G.A.",0.646,0.173,0.02,0.067,0.016,0.047,0.02,NA,0.004,0.008,NA,NA,NA
"COMM 103B - MILLER, T.E.",0.24,0.4,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 104 - MILLER, T.E.",0.321,0.214,0.321,NA,NA,0.107,NA,NA,0.036,NA,NA,NA,NA
"COMM 105 - ARBABZADAH, N.",0.333,0.302,0.229,0.031,0.01,0.094,NA,NA,NA,NA,NA,NA,NA
"COMM 111 - MALAMUTH, N.M.",0.219,0.171,0.105,0.152,0.095,0.152,0.048,0.019,0.029,NA,NA,0.01,NA
"COMM 119 - WARLAUMONT, A.S.",0.389,0.181,0.236,0.111,NA,0.056,0.028,NA,NA,NA,NA,NA,NA
"COMM 133 - STEEN, F.F.",0.607,0.135,0.18,0.011,NA,0.045,NA,NA,0.022,NA,NA,NA,NA
"COMM 145 - SUMAN, M.W.",0.077,0.077,0.077,0.154,0.128,0.077,NA,0.154,0.103,0.051,NA,0.026,0.077
"COMM 148 - FERAMISCO, C.",0.36,0.33,0.07,0.06,0.05,0.12,NA,NA,0.01,NA,NA,NA,NA
"COMM 150 - PETERSON, S.M.",0.232,0.232,0.043,0.188,0.116,0.13,0.029,NA,0.029,NA,NA,NA,NA
"COMM 151 - GROELING, T.J.",0.671,0.129,0.071,0.029,0.014,0.029,0.014,NA,0.029,NA,NA,NA,0.014
"COMM 154 - STEEN, F.F.",0.366,0.134,0.232,0.146,0.024,0.098,NA,NA,NA,NA,NA,NA,NA
"COMM 155 - JOO, J.",0.395,0.14,0.395,0.047,NA,0.023,NA,NA,NA,NA,NA,NA,NA
"COMM 160 - GROELING, T.J.",0.531,0.122,0.245,0.061,NA,0.041,NA,NA,NA,NA,NA,NA,NA
"COMM 170 - HUPPIN, M.A.",0.283,0.17,0.085,0.094,0.123,0.217,0.019,NA,NA,NA,NA,NA,0.009
"COMM 187 - NEWTON, J.S.",0.645,0.181,0.058,0.007,NA,0.109,NA,NA,NA,NA,NA,NA,NA
"COMM 188C - JOO, J.",0.633,0.033,0.3,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA
"COMM 188D - RADD, B.",0.789,0.132,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 191E - GOLDMAN, A.H.",0.294,0.588,NA,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"COMM M169 - VON BLUM, P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 10A - CAI, H.",0.451,0.171,NA,0.085,0.049,0.146,0.061,0.012,NA,0.012,NA,0.012,NA
"COMPTNG 10A - LINDSTROM, M.R.",0.148,0.377,0.033,0.049,0.066,NA,0.033,0.098,0.033,0.033,0.033,NA,0.098
"COMPTNG 10A - SALAZAR, R.",0.54,0.254,NA,0.095,0.048,0.032,NA,NA,NA,NA,NA,NA,0.032
"COMPTNG 10A - WANG, B.",0.157,0.216,NA,0.157,0.235,NA,0.098,0.118,0.02,NA,NA,NA,NA
"COMPTNG 10B - CAI, H.",0.5,0.14,NA,0.08,0.1,0.06,0.02,NA,0.02,0.02,NA,0.06,NA
"COMPTNG 10B - CHU, W.",0.31,0.138,NA,0.31,0.052,0.052,0.069,NA,NA,NA,NA,0.034,0.034
"COMPTNG 10B - WANG, B.",0.567,0.2,NA,0.167,NA,0.033,0.033,NA,NA,NA,NA,NA,NA
"COMPTNG 10C - FALCON, C.",0.433,0.217,NA,0.083,0.067,0.183,NA,NA,NA,NA,0.017,NA,NA
"COMPTNG 16 - ANDREWS, M.J.",0.516,0.032,0.097,0.032,0.097,0.226,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 16 - JI, H.",0.63,0.037,0.111,NA,0.037,0.111,0.037,NA,0.037,NA,NA,NA,NA
"COMPTNG 20A - AZENCOT, O.",0.15,0.1,0.125,0.125,0.15,0.125,0.075,0.05,0.1,NA,NA,NA,NA
"COMPTNG 40A - LINDSTROM, M.R.",0.308,0.308,0.077,0.154,NA,0.077,NA,NA,NA,NA,NA,NA,0.077
"DANCE 10 - TSOU, J.C.",0.667,0.056,0.167,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 11 - BLU WAKPA, T.",0.632,0.158,0.105,NA,0.053,0.053,NA,NA,NA,NA,NA,NA,NA
"DANCE 116 - WARBY, R.K.",0.55,0.15,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"DANCE 117A - ABRAHAM, K.G.",0.688,0.125,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 117A - CARLSON, A.M.",0.688,0.25,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 12 - BANERJI, A.",0.083,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 12 - POPKIN, L.A.",0.8,0.133,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"DANCE 13 - ABRAHAM, K.G.",0.778,0.056,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056
"DANCE 15 - ABRAHAM, K.G.",0.2,0.2,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 15 - POPKIN, L.A.",0.353,NA,0.294,0.118,NA,0.235,NA,NA,NA,NA,NA,NA,NA
"DANCE 16 - CARLSON, A.M.",0.529,0.176,0.176,0.059,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 44 - GONZALEZ, L.D.",0.54,0.2,0.06,0.04,0.02,0.1,NA,NA,NA,0.04,NA,NA,NA
"DANCE 5 - EEN, R.W.",0.722,0.167,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"DANCE 59 - LOPEZ, J.G.",0.81,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 6 - WODOBODE, A.",0.412,0.412,NA,0.059,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"DANCE 65 - COAD, G.W.",0.565,0.13,0.13,NA,NA,0.174,NA,NA,NA,NA,NA,NA,NA
"DANCE 67A - ROUSSEVE, D.J.",0.769,0.154,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 67B - ABRAHAM, K.G.",0.333,0.333,0.133,0.067,0.067,0.067,NA,NA,NA,NA,NA,NA,NA
"DANCE C109A - FOAAD, L.R.",0.077,NA,0.846,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE C113A - TOMITA, N.",0.667,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE C115 - COAD, G.W.",0.619,0.048,0.19,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE C122 - EEN, R.W.",0.737,0.211,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"DESMA 152 - MCWILLIAMS, C.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 153 - FERNANDEZ CABRERA,",0.435,NA,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043
"DESMA 154 - ELLIOTT, B.A.",0.174,0.13,NA,0.348,0.087,0.13,NA,0.043,0.043,NA,NA,0.043,NA
"DESMA 156 - STEINKAMP, J.J.",0.238,0.19,0.19,0.095,NA,0.048,0.19,NA,NA,NA,NA,NA,0.048
"DESMA 160 - FUJIHATA, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 161 - CUELLAR, C.I.",0.429,0.238,0.143,0.048,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"DESMA 163 - KHOSHGOZARAN, G.",0.571,0.238,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048
"DESMA 171 - STERN, E.I.",0.706,0.059,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059
"DESMA 172 - TRIANTAFYLLIDIS, T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 173 - MULLER, Y.M.",0.571,0.143,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 22 - ESPOSITO, P.C.",0.714,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 24 - ANADOL, R.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 25 - LUCAS, W.H.",0.15,0.3,0.1,0.05,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"DESMA 252B - MCWILLIAMS, C.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 269 - HUHTAMO, E.I.",0.818,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 269 - LUNENFELD, P.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 28 - REAS, C.",0.35,0.1,0.1,NA,0.15,0.15,0.1,NA,NA,NA,NA,NA,0.05
"DESMA 8 - LUNENFELD, P.B.",0.432,0.407,0.055,0.013,NA,0.076,NA,NA,0.008,NA,NA,0.008,NA
"DGT HUM 140 - MACFADYEN, D.W.",0.525,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 150 - CHO, S.",0.704,0.148,0.037,0.037,NA,NA,NA,NA,0.037,NA,NA,NA,0.037
"DGT HUM 150 - JOHANSON, C.",0.667,0.278,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 199 - SANDERS, A.",0.933,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - WOLF, S.M.",0.421,0.021,0.474,0.011,0.011,0.032,0.011,NA,0.011,NA,NA,NA,0.011
"DIS STD 195CE - MARKS, V.E.",0.952,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M115 - LEWIS, B.J.",0.667,0.167,NA,0.067,NA,0.067,NA,NA,NA,0.033,NA,NA,NA
"DIS STD M139 - DEMER, L.L.",0.75,0.05,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUTCH 103B - BRIER, M.F.",0.286,NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 10 - PAMARTI, S.",0.211,0.211,0.083,0.156,0.083,0.202,NA,NA,0.046,NA,NA,NA,0.009
"EC ENGR 100 - RAZAVI, B.",0.196,0.25,0.107,0.089,0.116,0.152,0.009,NA,0.08,NA,NA,NA,NA
"EC ENGR 101A - CANDLER, R.N.",0.202,0.128,0.043,0.213,0.138,0.064,0.053,0.043,0.106,0.011,NA,NA,NA
"EC ENGR 101B - JARRAHI, M.",0.18,0.26,NA,0.18,0.04,0.2,0.04,NA,0.02,0.02,NA,NA,0.06
"EC ENGR 102 - CABRIC, D.",0.203,0.322,0.085,0.068,0.102,0.068,0.017,NA,0.119,NA,NA,NA,0.017
"EC ENGR 110H - MOLOUDI, S.",0.071,0.036,0.107,0.143,0.143,0.071,0.107,0.143,0.036,NA,NA,0.071,0.071
"EC ENGR 110L - MESGHALI, F.",0.208,0.188,0.062,0.208,0.021,0.312,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 111L - MOLOUDI, S.",0.148,0.037,0.37,0.037,0.111,0.148,NA,NA,NA,0.037,NA,NA,0.111
"EC ENGR 113DB - BRIGGS, D.M.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 115B - DARABI, H.",0.265,0.367,0.143,0.061,0.041,0.082,NA,NA,0.041,NA,NA,NA,NA
"EC ENGR 115C - BASIRKAZERUNI, S.",0.167,0.167,0.037,0.056,0.093,0.13,0.093,0.093,0.093,0.019,0.019,0.037,NA
"EC ENGR 11L - PAMARTI, S.",0.495,0.075,0.355,0.009,0.019,0.037,NA,NA,0.009,NA,NA,NA,NA
"EC ENGR 121B - EMAMINEJAD, S.",0.34,0.268,0.041,0.113,0.072,0.155,NA,NA,0.01,NA,NA,NA,NA
"EC ENGR 128 - SOKOLICH, M.",0.462,0.231,0.077,0.077,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 131A - DOLECEK, L.",0.221,0.147,0.147,0.147,0.042,0.116,0.084,0.032,0.021,0.042,NA,NA,NA
"EC ENGR 132A - LORENZELLI, F.",0.29,0.217,0.072,0.145,0.072,0.116,0.014,NA,0.043,NA,0.029,NA,NA
"EC ENGR 133A - YANG, L.",0.533,0.033,0.267,0.067,NA,0.067,NA,NA,0.033,NA,NA,NA,NA
"EC ENGR 141 - SHOARINEJAD, K.",0.185,0.204,0.222,0.13,0.019,0.111,0.037,0.019,0.019,NA,NA,NA,0.056
"EC ENGR 163C - WANG, Y.",0.4,NA,0.1,0.1,0.3,NA,0.1,NA,NA,NA,NA,NA,NA
"EC ENGR 170A - WONG, C.",0.391,0.152,0.043,0.109,0.065,0.196,0.022,NA,NA,0.022,NA,NA,NA
"EC ENGR 170B - JALALI, B.",0.071,0.286,0.143,0.143,0.214,NA,0.143,NA,NA,NA,NA,NA,NA
"EC ENGR 173DB - STAFSUDD, O.M.",0.615,NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 180DB - POTTIE, G.J.",0.448,0.31,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 180DB - SHOARINEJAD, K.",0.529,0.176,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 189 - CANDLER, R.N.",0.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"EC ENGR 194 - OZCAN, A.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 201C - HE, L.",0.474,0.421,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - HE, L.",0.465,0.349,0.093,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - SRIVASTAVA, M.B.",0.577,0.269,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 211A - KADAMBI, A.",0.587,0.261,0.13,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215B - YANG, C.K.",0.364,0.273,NA,0.182,0.091,0.091,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215C - RAZAVI, B.",0.211,0.237,0.158,0.184,0.079,0.132,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 219 - ROYCHOWDHURY, V.P.",0.607,0.281,0.052,0.007,NA,0.044,NA,NA,NA,NA,NA,NA,0.007
"EC ENGR 221A - SOKOLICH, M.",0.318,0.318,0.091,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 230A - CABRIC, D.",0.286,0.143,0.071,0.214,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 232B - RUBIN, I.",0.812,0.125,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 236B - VANDENBERGHE, L.",0.533,0.307,0.027,0.08,0.013,0.04,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 246 - DIGGAVI, S.N.",0.455,0.318,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 271 - JOSHI, C.J.",0.4,0.1,0.1,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0.1
"EC ENGR 279AS - BABAKHANI, A.",0.632,0.053,0.263,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 2H - WILLIAMS, B.S.",0.476,0.381,NA,0.048,NA,0.048,NA,NA,NA,NA,NA,NA,0.048
"EC ENGR C147 - KAO, J.C.",0.7,0.08,0.12,NA,0.02,0.08,NA,NA,NA,NA,NA,NA,NA
"EC ENGR C247 - KAO, J.C.",0.787,0.064,0.124,0.01,NA,0.015,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M16 - CHEN, X.",0.19,0.286,0.122,0.143,0.027,0.15,0.027,0.007,0.02,NA,NA,NA,0.027
"EC ENGR M214A - ALWAN, A.A.",0.222,0.194,0.056,0.194,0.056,0.278,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M217 - RIVENSON, Y.",0.417,0.417,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M242A - TABUADA, P.",0.214,0.071,0.286,0.071,0.071,0.286,NA,NA,NA,NA,NA,NA,NA
"ECON 1 - SAEIDINEZHAD, E.",0.37,0.373,0.125,0.023,0.014,0.068,0.009,NA,0.003,0.006,0.003,NA,0.006
"ECON 101 - SANTOS DA SILVEIRA",0.364,0.171,0.233,0.045,0.017,0.161,NA,NA,0.01,NA,NA,NA,NA
"ECON 102 - BAQAEE, D.R.",0.204,0.168,0.029,0.232,0.1,0.164,0.021,0.004,0.057,NA,0.007,0.011,0.004
"ECON 103 - CONVERY, P.D.",0.313,0.083,0.08,0.05,0.083,0.213,0.067,0.057,0.053,NA,NA,NA,NA
"ECON 103L - CONVERY, P.D.",0.313,0.083,0.08,0.05,0.083,0.213,0.067,0.057,0.053,NA,NA,NA,NA
"ECON 106I - MEYER-TER-VEHN, M.",0.422,0.22,0.092,0.064,0.037,0.128,0.009,0.009,0.009,NA,NA,NA,0.009
"ECON 106IL - MEYER-TER-VEHN, M.",0.422,0.22,0.092,0.064,0.037,0.128,0.009,0.009,0.009,NA,NA,NA,0.009
"ECON 106M - WILLIAMS, T.J.",0.289,0.044,NA,0.156,0.222,0.178,0.089,NA,0.022,NA,NA,NA,NA
"ECON 106ML - WILLIAMS, T.J.",0.289,0.044,NA,0.156,0.222,0.178,0.089,NA,0.022,NA,NA,NA,NA
"ECON 106V - WEILL, P.",0.454,0.163,0.099,0.142,0.05,0.092,NA,NA,NA,NA,NA,NA,NA
"ECON 106VL - WEILL, P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 107 - OZLER, S.",0.266,0.19,0.051,0.177,0.089,0.203,NA,NA,0.025,NA,NA,NA,NA
"ECON 11 - ZAME, W.R.",0.26,0.053,0.041,0.272,0.036,0.148,0.041,NA,0.03,0.024,NA,NA,0.095
"ECON 112 - OSEI TWUMASI, O.I.",0.344,0.244,0.2,0.044,0.033,0.111,0.011,NA,0.011,NA,NA,NA,NA
"ECON 113 - OZLER, S.",0.207,0.299,0.161,0.103,0.034,0.149,NA,NA,0.046,NA,NA,NA,NA
"ECON 122 - ITSKHOKI, O.",0.107,0.227,0.013,0.173,0.133,0.28,0.027,NA,0.04,NA,NA,NA,NA
"ECON 134 - TAKATSUKA, Y.",0.359,0.217,0.022,0.141,0.043,0.065,0.098,NA,0.054,NA,NA,NA,NA
"ECON 137 - MCDEVITT, E.P.",0.209,0.142,0.133,0.253,0.04,0.147,0.018,NA,0.053,NA,NA,NA,0.004
"ECON 144 - ROJAS, R.R.",0.314,0.2,0.257,NA,NA,0.114,0.057,NA,0.029,NA,0.029,NA,NA
"ECON 147 - LIAO, Z.",0.281,0.156,0.062,0.156,0.156,0.156,0.031,NA,NA,NA,NA,NA,NA
"ECON 147L - LIAO, Z.",0.906,0.062,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"ECON 160 - SAEIDINEZHAD, E.",0.276,0.207,0.241,0.103,NA,0.172,NA,NA,NA,NA,NA,NA,NA
"ECON 165 - GEEROLF, F.",0.568,0.216,0.158,NA,0.022,0.029,NA,NA,0.007,NA,NA,NA,NA
"ECON 169 - SIMON, W.E.",0.632,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 170 - ASKER, J.W.",0.525,0.01,0.03,0.121,0.01,0.303,NA,NA,NA,NA,NA,NA,NA
"ECON 187 - ROJAS, R.R.",0.143,0.071,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 189 - SANTOS DA SILVEIRA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 2 - TAKATSUKA, Y.",0.304,0.126,0.044,0.237,0.022,0.126,0.015,0.044,0.052,0.022,NA,NA,0.007
"ECON 201B - ZAME, W.R.",0.276,0.207,0.069,0.138,0.103,0.207,NA,NA,NA,NA,NA,NA,NA
"ECON 202B - ATKESON, A.G.",0.263,0.263,0.105,0.158,NA,0.211,NA,NA,NA,NA,NA,NA,NA
"ECON 203B - SANTOS, A.",0.211,0.263,0.053,0.105,NA,0.368,NA,NA,NA,NA,NA,NA,NA
"ECON 242 - GIORCELLI, M.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 261B - GONCALVES, F.M.",0.462,0.231,0.154,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ECON 271B - ASKER, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - HAHN, J.",0.182,0.174,0.041,0.116,0.132,0.182,0.066,0.041,0.066,NA,NA,NA,NA
"ECON 41 - ROJAS, R.R.",0.139,0.113,0.113,0.113,0.086,0.132,0.086,0.013,0.079,0.026,NA,0.046,0.053
"ECON 410 - TORNELL, A.",0.333,0.043,0.609,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA
"ECON 421 - BOARD, S.A.",0.214,0.25,0.036,0.179,0.036,0.286,NA,NA,NA,NA,NA,NA,NA
"ECON 424 - VOGEL, J.E.",0.549,0.255,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 425 - LIU, X.",0.318,0.5,0.076,0.015,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ECON 429B - ROTHMAN, V.",0.857,0.048,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 432 - LIAO, Z.",0.35,0.117,0.433,0.017,0.017,0.067,NA,NA,NA,NA,NA,NA,NA
"ECON 433 - WEILL, P.",0.522,0.149,0.179,0.134,NA,0.015,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - ZAME, W.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON M123 - TORNELL, A.",0.362,0.234,0.043,0.064,0.064,0.128,0.085,0.021,NA,NA,NA,NA,NA
"EDUC 11 - NOGUERA, P.A.",0.544,0.013,NA,0.089,NA,0.316,0.013,NA,0.025,NA,NA,NA,NA
"EDUC 127 - DARBY, J.T.",0.722,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 132 - KASARI, C.L.",0.419,0.233,0.279,0.023,NA,0.047,NA,NA,NA,NA,NA,NA,NA
"EDUC 143 - MCDONOUGH, P.M.",0.645,0.158,0.158,0.013,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"EDUC 164 - ALLEN, W.R.",0.237,0.184,0.053,0.211,0.053,0.263,NA,NA,NA,NA,NA,NA,NA
"EDUC 166 - BAILEY, A.",0.571,0.119,0.286,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 185 - PATTERSON, J.",0.714,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - AMLANI, A.M.",0.526,0.053,0.368,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - DORIO, J.",0.038,0.038,0.885,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - GRAMMER, J.K.",0.207,0.098,0.354,0.122,0.049,0.049,0.037,0.012,0.049,0.012,NA,0.012,NA
"EDUC 187 - SHARE, J.",0.5,0.12,0.26,0.08,0.02,NA,0.02,NA,NA,NA,NA,NA,NA
"EDUC 191C - HARRISON, O.C.",0.071,0.321,0.143,0.071,0.071,0.286,NA,NA,0.036,NA,NA,NA,NA
"EDUC 196C - NIMMO-RAMIREZ, L.A",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196D - BANG, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204D - SOLORZANO, D.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204E - OMWAMI, E.S.",0.667,NA,0.222,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"EDUC 211C - CAI, L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222B - MANCEVICE, N.A.",0.538,0.231,0.154,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EDUC 222B - MCCARTY, T.L.",0.773,0.045,0.136,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"EDUC 222D - MARIN, A.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - ORELLANA, M.E.",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - HANSEN, M.P.",0.966,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230B - HANSEN, M.P.",0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230B - WEBB, N.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 233 - ROSE, M.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 243 - SELTZER, M.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250B - JAQUETTE, O.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 255C - JEON, M.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 272 - KRATZER, C.C.",0.875,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 281 - MCDONOUGH, P.M.",0.643,NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296K - KRATZER, C.C.",0.724,0.069,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - DORIO, J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - EAGAN, K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315B - ARIAS, M.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315B - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318B - HIPOLITO, E.D.",0.895,0.053,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - NAVA-LANDEROS, I.",0.438,0.188,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - PARK, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
