"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"HNRS 19 - MELZER, S.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 19 - TAYLOR, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 193A - HO, A.Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 193A - SAN JUAN, C.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 193A - SAN JUAN, C.D. LEC 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 37W - WESTRUP, L.A.",0.214,0.5,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 50 - SAMUELSON, M.G.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 50 - SAMUELSON, M.G. LEC 2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 70A - GOLDBERG, R.B.",NA,0.912,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 80 - KOROPECKYJ, R.",NA,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 87W - PRESCOTT, T.L.",NA,0.85,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS M123 - LINDHOLM, J.A.",0.333,0.625,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS M152 - DIAMOND, J.M.",0.2,0.771,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS M179 - VON BLUM, P.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 282 - PAPP, J.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 111A - CEVIK, S.B.",0.615,0.308,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 191 - TAUB, B.",NA,0.35,0.35,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 33 - JUNG-KIM, J.J.",0.049,0.197,0.361,0.213,0.066,0.016,0.049,NA,NA,NA,NA,NA,NA
"I A STD 50 - TAUB, B.",0.083,0.667,0.104,0.042,0.062,0.042,NA,NA,NA,NA,NA,NA,NA
"I M STD 19 - WALDINGER, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL AMER 18B - DE LA TORRE, L.",0.5,0.2,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDO 100B - WIJAYA, J.",0.067,0.6,0.133,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 10 - NOBLE, S.U.",0.595,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 180 - LIEVROUW, L.A.",0.273,0.364,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 20 - SRINIVASAN, R.",NA,0.52,0.307,0.053,0.053,0.013,NA,0.013,0.013,NA,NA,NA,0.013
"INF STD 202 - DRUCKER, J.R.",NA,0.611,0.167,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 213 - LEAZER, G.H.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 241 - GILLILAND, A.J.",0.233,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 262A - WALLIS, J.C.",0.333,0.417,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 270 - BLANCHETTE, J.",0.654,0.269,0.038,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"INF STD 270 - BLANCHETTE, J. LEC 2",0.63,0.185,0.111,0.037,0.037,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 272 - LIEVROUW, L.A.",0.087,0.783,0.043,0.043,0.043,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - EVERETT, D.",NA,0.682,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - GILLILAND, A.J.",0.667,0.2,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 298B - CASWELL, M.L.",NA,0.952,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 400 - NOBLE, S.U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 461 - MENDES, L.H.",0.1,0.633,0.1,0.067,0.033,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 480 - VANCOUR, S.G.",NA,0.524,0.333,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 498 - BLANCHETTE, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 110 - CHUN, J.J.",0.14,0.26,0.333,0.14,0.08,0.013,0.013,0.02,NA,NA,NA,NA,NA
"INTL DV 130 - HARRIS, K.K.",0.073,0.3,0.207,0.18,0.093,0.047,0.047,0.047,0.007,NA,NA,NA,NA
"INTL DV 191 - POSNER, D.N.",NA,0.263,0.526,0.158,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 193 - LOFCHIE, M.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 194 - LOFCHIE, M.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 102B - HAGIGI, L.E.",0.1,0.6,0.1,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"IRANIAN 1B - POURZANGI, B.",0.182,0.273,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 20B - HAGIGI, L.E.",NA,0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN M105B - SAIEDI, N.",NA,0.69,0.276,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA
"IRANIAN M110B - MOUSAVI, S.",0.048,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISLM ST 151 - YARBROUGH, L.B.",0.174,0.478,0.087,NA,0.13,0.087,0.043,NA,NA,NA,NA,NA,NA
"ISLM ST M20 - SAYEED, A.",0.073,0.364,0.2,0.091,0.073,0.073,0.018,0.018,0.009,NA,0.009,0.009,0.009
"ITALIAN 1 - LAVAGNINO, C.G.",0.167,0.278,0.111,0.056,0.167,NA,NA,NA,NA,NA,NA,NA,0.111
"ITALIAN 1 - LAVAGNINO, C.G. LEC 2",0.136,0.318,0.182,0.091,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 1 - LAVAGNINO, C.G. LEC 3",0.091,0.5,0.136,0.091,0.045,0.045,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 1 - LAVAGNINO, C.G. LEC 4",NA,0.263,NA,0.211,0.053,0.105,0.053,NA,0.053,NA,NA,NA,NA
"ITALIAN 140 - CIAVOLELLA, M.",NA,0.13,0.348,0.348,0.13,0.043,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 2 - LAVAGNINO, C.G.",0.048,0.429,0.095,0.095,NA,0.048,0.048,0.095,NA,NA,NA,NA,NA
"ITALIAN 2 - LAVAGNINO, C.G. LEC 2",0.25,0.333,0.042,0.042,NA,NA,NA,0.125,NA,NA,NA,NA,NA
"ITALIAN 2 - LAVAGNINO, C.G. LEC 3",0.24,0.28,0.16,0.04,0.04,0.04,0.04,NA,NA,NA,NA,NA,NA
"ITALIAN 2 - TRUONG, H.T.",NA,0.333,0.133,0.067,0.133,0.067,0.067,NA,NA,NA,NA,NA,NA
"ITALIAN 3 - SPANO, O.",0.071,0.643,0.214,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 3 - TRUONG, H.T.",0.15,0.25,0.2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 42A - MOUDARRES, A.",0.209,0.47,0.139,0.052,0.009,0.009,NA,0.009,NA,NA,NA,NA,NA
"JAPAN 100B - NOGAMI, Y.",NA,0.147,0.265,0.118,0.059,0.176,0.029,0.088,0.029,NA,NA,NA,NA
"JAPAN 101B - MENJO, S.",NA,0.278,0.333,0.111,0.111,NA,0.111,NA,NA,NA,NA,NA,NA
"JAPAN 103A - TAKAKURA, A.H.",NA,0.625,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 124 - IWASAKI, S.",0.115,0.385,0.192,0.231,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 172 - KANESAKA, K.K.",0.455,0.273,0.091,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 2 - KAWANISHI, Y.",NA,0.545,0.143,0.026,0.078,0.026,0.013,0.013,NA,0.026,NA,NA,0.013
"JAPAN 2 - TAKAKURA, A.H.",0.224,0.474,0.158,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 5 - IKEDA, E.",0.069,0.069,0.345,0.138,0.069,0.034,0.034,NA,NA,NA,0.034,NA,NA
"JAPAN 5 - MENJO, S.",NA,0.25,0.214,0.071,0.071,NA,0.036,0.071,NA,NA,NA,NA,NA
"JAPAN 80 - YAMAZAKI, J.",0.196,0.536,0.065,0.065,0.024,0.012,0.012,NA,NA,NA,NA,NA,0.006
"JAPAN C159 - YAMAZAKI, J.",0.233,0.372,0.279,0.093,0.023,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN CM123 - IWASAKI, S.",0.033,0.033,0.467,0.167,0.133,0.033,0.033,NA,NA,NA,0.033,0.033,0.033
"JAPAN CM160 - BODIFORD, W.M.",0.107,0.286,0.107,0.071,0.214,0.071,0.071,0.036,NA,NA,0.036,NA,NA
"JEWISH 19 - ZASLOFF, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEWISH M144 - ABRAMSON, S.D.",0.286,0.19,0.143,0.048,0.143,0.048,0.143,NA,NA,NA,NA,NA,NA
"JEWISH M150A - SMOAK, J.D.",NA,0.727,0.045,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 100B - YOON, J.E.",0.192,0.385,0.192,0.038,0.115,0.038,NA,NA,NA,NA,NA,NA,NA
"KOREA 101B - YOON, J.E.",0.067,0.4,0.267,0.067,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 102B - CHOI, J.B.",0.19,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 104B - JEON, S.",0.385,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 124 - SOHN, S.S.",0.118,0.529,0.059,0.059,0.118,NA,0.059,NA,NA,NA,NA,NA,0.059
"KOREA 159 - WANG, S.",NA,0.225,0.3,0.225,0.175,0.05,NA,NA,NA,NA,NA,NA,NA
"KOREA 2 - CHOI, J.B.",0.271,0.529,0.1,0.029,0.029,0.014,NA,0.014,NA,NA,NA,NA,NA
"KOREA 2 - MITSUNAGA, J.I.",0.345,0.328,0.103,0.069,0.052,NA,0.034,NA,NA,NA,NA,NA,0.017
"KOREA 2A - JU, H.",0.263,0.553,0.079,NA,NA,0.026,NA,NA,0.026,NA,NA,NA,NA
"KOREA 5 - JEON, S.",0.227,0.682,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 5 - MITSUNAGA, J.I.",0.227,0.318,0.227,0.182,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 50 - PARK, H.",0.118,0.538,0.14,0.054,0.022,0.022,0.022,NA,0.022,NA,NA,NA,0.011
"LATIN 1 - BECKELHYMER, S.D.",0.188,0.125,0.062,NA,0.125,0.062,NA,NA,NA,NA,NA,NA,0.062
"LATIN 2 - BECKELHYMER, S.D.",0.296,0.481,0.111,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA
"LATIN 2 - BECKELHYMER, S.D. LEC 2",0.263,0.158,0.053,0.105,NA,0.211,NA,NA,NA,NA,0.053,NA,NA
"LATIN 2 - BECKELHYMER, S.D. LEC 3",0.393,0.214,0.071,0.143,NA,NA,NA,NA,0.036,NA,NA,NA,NA
"LBR STD 126 - RIVERA-SALGADO, G.",0.038,0.231,0.231,0.231,0.192,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 152 - SHADDUCK-HERNANDEZ",0.216,0.622,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 153 - GAFFNEY, L.M.",0.051,0.769,0.103,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"LBR STD 179B - ROCCO, R.A.",0.105,0.684,0.053,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 182B - ESPINO, V.R.",0.423,0.308,0.077,0.077,0.077,NA,NA,NA,NA,NA,NA,NA,0.038
"LBR STD 187 - GRIFFEY, T.S.",0.1,0.333,0.1,NA,0.167,0.033,NA,NA,NA,NA,NA,NA,0.033
"LBR STD 188 - HAAS, G.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 188 - HUNG, B.",0.381,0.429,0.048,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD M166B - PEREZ, I.",NA,0.765,0.059,0.059,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 182 - MORRIS, M.B.",0.045,0.864,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 183 - LOPEZ GASPAR DE AL",0.136,0.409,0.182,0.091,0.136,NA,NA,NA,NA,NA,NA,NA,0.045
"LGBTQS 19 - MORRIS, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGBTQS M114 - WOOLSEY, M.F.",0.382,0.343,0.069,0.098,0.02,0.029,0.02,NA,NA,NA,0.01,NA,NA
"LIFESCI 107 - PHAM, H.D.",0.464,0.188,0.105,0.06,0.077,0.017,0.023,0.023,0.031,NA,NA,NA,0.011
"LIFESCI 110 - KENNISON, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 15 - PHELAN, J.P.",0.029,0.564,0.056,0.129,0.152,0.006,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192A - SHAKED, S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - PFLUEGL, G.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - PIRES, D.B.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHAKED, S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHEVTSOV, J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - PIRES, D.B.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - SHAKED, S.",NA,0.864,0.045,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PIRES, D.B.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHAKED, S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192E - SHAKED, S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 23L - PFLUEGL, G.M.",0.739,0.177,0.042,0.012,0.014,0.003,0.008,0.002,NA,NA,NA,NA,0.003
"LIFESCI 30A - CONLEY, W.J.",0.114,0.595,0.139,0.034,0.059,0.013,NA,0.017,0.013,NA,0.013,NA,NA
"LIFESCI 30A - DEEDS, E.J.",0.391,0.232,0.152,0.08,0.022,0.043,0.022,NA,NA,0.007,0.007,NA,NA
"LIFESCI 30A - JAROSZEWICZ, A.T.",0.592,0.175,0.068,0.034,0.053,0.039,0.005,0.015,NA,NA,NA,0.005,0.01
"LIFESCI 30B - JAROSZEWICZ, A.T.",0.623,0.152,0.079,0.037,0.037,0.005,0.016,0.016,0.005,NA,0.01,0.005,0.005
"LIFESCI 30B - KERANEN, J.P.",0.845,0.105,0.009,0.015,0.006,0.003,0.006,0.003,0.003,NA,0.003,NA,NA
"LIFESCI 30B - KERANEN, J.P. LEC 3",0.886,0.079,0.014,0.014,0.007,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 375 - JAROSZEWICZ, A.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 375 - KERANEN, J.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 375 - PFLUEGL, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 40 - SHEVTSOV, J.",0.125,0.438,0.047,0.062,0.109,0.047,NA,0.062,0.047,NA,0.016,NA,0.047
"LIFESCI 40 - VENUGOPAL, S.",0.513,0.205,0.051,0.128,0.026,NA,NA,0.026,0.051,NA,NA,NA,NA
"LIFESCI 495 - DIXIE, K.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 495 - KENNISON, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 7A - KHANKAN, R.R.",0.024,0.346,0.143,0.073,0.14,0.045,0.038,0.091,NA,NA,0.021,NA,0.017
"LIFESCI 7A - LAZAZZERA, B.A.",0.041,0.259,0.193,0.119,0.156,0.07,0.067,0.059,NA,NA,0.011,NA,0.011
"LIFESCI 7A - PIRES, D.B.",0.003,0.318,0.14,0.1,0.124,0.084,0.043,0.14,NA,NA,0.01,NA,0.007
"LIFESCI 7B - KANE, T.L.",0.021,0.334,0.22,0.164,0.132,0.049,0.035,0.045,NA,NA,NA,NA,NA
"LIFESCI 7B - MARCOT, J.D.",0.007,0.375,0.237,0.158,0.099,0.072,0.007,0.033,NA,NA,0.007,NA,NA
"LIFESCI 7B - MARCOT, J.D. LEC 2",0.033,0.458,0.175,0.091,0.135,0.04,0.018,0.025,0.007,0.007,NA,NA,NA
"LIFESCI 7B - NONACS, P.N.",0.039,0.363,0.239,0.116,0.13,0.039,0.021,0.039,NA,NA,0.004,NA,0.004
"LIFESCI 7C - COOPER, R.H.",NA,0.403,0.262,0.19,0.085,0.023,0.013,0.016,NA,NA,NA,NA,NA
"LIFESCI 7C - KHANKAN, R.R.",NA,0.394,0.32,0.116,0.116,0.014,0.014,0.021,NA,NA,NA,NA,0.004
"LIFESCI 98XA - HASSON, T.W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING 1 - HYAMS, N.M.",0.152,0.26,0.104,0.123,0.082,0.053,0.027,0.024,0.022,0.007,0.012,NA,0.014
"LING 1 - SPORTICHE, D.L.",0.07,0.22,0.148,0.101,0.106,0.039,0.041,0.049,0.018,0.034,0.016,0.008,0.026
"LING 102 - AHN, S.",0.059,0.397,0.25,0.088,0.103,0.074,NA,NA,0.015,NA,NA,0.015,NA
"LING 103 - AHN, S.",0.143,0.343,0.229,0.171,0.029,0.057,NA,NA,NA,NA,0.029,NA,NA
"LING 104 - JUN, S.",0.172,0.103,0.241,0.138,0.172,NA,0.034,NA,0.034,0.034,0.034,NA,NA
"LING 120A - SHIH, S.",0.292,0.25,NA,0.125,0.25,NA,0.083,NA,NA,NA,NA,NA,NA
"LING 120B - POOLE, E.J.",0.038,0.291,0.139,0.152,0.127,0.063,0.038,0.076,0.013,0.013,NA,NA,0.051
"LING 120C - BUMFORD, D.",0.19,0.143,0.19,0.095,0.119,0.071,0.048,0.071,0.048,NA,0.024,NA,NA
"LING 127 - KOOPMAN, H.",0.257,0.4,0.114,0.086,0.057,NA,0.029,NA,0.057,NA,NA,NA,NA
"LING 130 - LOCCIONI, N.",0.114,0.2,0.229,0.2,0.171,0.057,0.029,NA,NA,NA,NA,NA,NA
"LING 165A - SHIH, S.",0.281,0.406,0.188,0.031,0.062,NA,0.031,NA,NA,NA,NA,NA,NA
"LING 165B - SCHUTZE, C.T.",0.12,0.16,0.08,0.12,0.08,0.16,NA,0.08,0.08,NA,0.08,0.04,NA
"LING 170 - SILVESTRI, G.",0.421,0.263,0.263,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA
"LING 185A - HUNTER, T.",0.206,0.324,0.059,0.088,0.088,0.059,0.029,0.029,NA,NA,0.029,0.029,0.059
"LING 20 - RASEKHI, V.",0.37,0.226,0.123,0.068,0.103,0.021,0.034,NA,0.021,NA,0.007,NA,0.014
"LING 201A - MOORE-CANTWELL, C.",0.3,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING 201C - SHARVIT, Y.",0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING 213C - HARRIS, J.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING 276 - KEATING, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING M141 - KELLEY, J.C.",NA,0.294,0.412,0.176,0.118,NA,NA,NA,NA,NA,NA,NA,NA
"M E STD M50B - BAKHOS, C.A.",0.077,0.308,0.231,0.077,0.192,0.038,0.038,NA,NA,NA,NA,NA,NA
"M PHARM 19 - SILVERMAN, D.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M PHARM 251 - WU, T.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 104 - BANERJEE, A.S.",0.141,0.352,0.239,0.07,0.113,0.028,0.014,0.042,NA,NA,NA,NA,NA
"MAT SCI 104 - BESCHER, E.P.",0.041,0.082,0.163,0.204,0.286,0.061,NA,NA,0.102,0.041,NA,0.02,NA
"MAT SCI 111 - PRIKHODKO, S.",NA,0.286,0.143,0.286,0.214,NA,0.071,NA,NA,NA,NA,NA,NA
"MAT SCI 120 - XIE, Y.",0.059,0.118,0.314,0.216,0.176,0.059,0.02,0.039,NA,NA,NA,NA,NA
"MAT SCI 122 - GOORSKY, M.S.",NA,0.348,0.174,0.174,0.174,NA,NA,NA,NA,0.043,NA,NA,NA
"MAT SCI 131 - DUNN, B.S.",NA,0.111,0.111,0.222,0.267,0.089,0.067,0.133,NA,NA,NA,NA,NA
"MAT SCI 131L - POZUELO, M.",0.067,0.333,0.2,0.133,0.267,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 131L - POZUELO, M. LEC 2",0.067,0.333,0.467,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 140A - MCENERNEY, B.",NA,0.265,0.088,0.206,0.118,0.324,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 141L - POZUELO, M.",0.048,0.476,0.143,0.143,0.143,0.048,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 143A - MARIAN, J.",0.032,0.226,0.29,0.097,0.161,0.129,0.032,NA,0.032,NA,NA,NA,NA
"MAT SCI 150 - HE, X.",0.08,0.18,0.14,0.06,0.2,0.12,0.06,0.02,0.06,0.04,0.04,NA,NA
"MAT SCI 221 - STREIT, D.C.",0.217,0.565,0.174,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 224 - BARRIE, J.D.",NA,0.407,0.148,0.333,0.074,NA,0.037,NA,NA,NA,NA,NA,NA
"MAT SCI 261 - MOSLEH, A.",0.238,0.381,0.238,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 296 - DUNN, B.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 296 - HE, X.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 296 - HUANG, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 296 - PEI, Q.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 298 - ONO, K.",NA,0.538,0.308,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 90L - KODAMBAKA, S.",NA,0.615,0.231,NA,0.077,NA,NA,NA,NA,NA,NA,0.077,NA
"MATH 105B - DALLAS, H.J.",NA,0.267,0.2,0.133,0.133,0.067,0.067,0.067,NA,NA,NA,NA,NA
"MATH 106 - OZEL, E.",0.042,0.242,0.167,0.183,0.208,0.067,0.058,0.008,0.008,NA,NA,NA,NA
"MATH 110A - FAN, H.",0.054,0.243,0.27,0.108,0.054,0.135,NA,0.027,0.081,NA,NA,NA,0.027
"MATH 110B - RUBIN, J.L.",NA,0.452,0.032,0.161,0.097,0.065,0.032,0.065,0.032,NA,NA,NA,0.065
"MATH 110BH - ELMAN, R.S.",0.032,0.613,0.129,0.065,0.065,0.032,NA,NA,0.032,NA,NA,NA,NA
"MATH 110BH - RONCHETTI, N.",0.071,0.143,0.071,NA,0.357,0.143,0.071,0.071,NA,NA,NA,NA,NA
"MATH 115A - HEMPEL, N.",0.094,0.25,0.125,0.031,0.094,NA,0.219,0.062,0.062,0.062,NA,NA,NA
"MATH 115A - HEMPEL, N. LEC 3",0.107,0.071,0.107,0.036,0.286,0.143,0.143,0.107,NA,NA,NA,NA,NA
"MATH 115A - LIU, G.",NA,0.412,0.147,NA,0.294,NA,NA,0.088,NA,NA,NA,NA,NA
"MATH 115A - MADRID PADILLA, J.",0.088,0.324,0.176,0.029,0.147,0.059,0.059,0.059,NA,NA,NA,NA,NA
"MATH 115A - ROONEY, J.H.",0.026,0.211,0.237,0.158,0.132,0.026,0.026,0.158,NA,NA,NA,NA,0.026
"MATH 115A - WHITE, N.A.",NA,0.457,NA,NA,0.314,NA,NA,0.2,NA,NA,0.029,NA,NA
"MATH 115AH - GIESEKER, D.",NA,0.536,0.143,0.071,0.071,0.071,NA,NA,0.036,NA,NA,NA,0.071
"MATH 115B - MAY, C.",0.045,0.227,0.182,0.136,0.045,0.091,0.136,NA,0.045,NA,NA,NA,0.045
"MATH 116 - HSU, C.",0.094,0.25,0.156,0.125,0.125,0.031,0.031,0.062,0.031,NA,0.062,NA,0.031
"MATH 118 - MCKENZIE, D.",0.111,0.444,0.111,0.222,0.074,NA,NA,0.037,NA,NA,NA,NA,NA
"MATH 120A - PETERSEN, P.",NA,0.667,0.148,NA,0.074,NA,NA,0.037,NA,NA,NA,NA,0.074
"MATH 121 - BROWN, R.F.",0.033,0.2,0.167,0.133,0.133,0.133,0.033,0.067,0.033,NA,0.033,NA,0.033
"MATH 131A - CLADEK, L.T.",NA,0.343,0.2,0.086,0.171,0.086,NA,0.057,0.057,NA,NA,NA,NA
"MATH 131A - ERIKSSON-BIQUE, S.",0.07,0.116,0.116,0.186,0.209,0.093,0.047,0.093,0.023,NA,NA,0.023,0.023
"MATH 131A - FILIPAZZI, S.",0.057,0.171,0.057,0.086,0.171,0.057,0.057,0.2,0.143,NA,NA,NA,NA
"MATH 131A - FILIPAZZI, S. LEC 6",0.032,0.032,0.097,NA,0.194,0.097,0.032,0.161,0.323,NA,NA,0.032,NA
"MATH 131A - GONG, S.",0.086,0.457,0.2,0.114,0.086,NA,NA,NA,NA,NA,0.029,NA,NA
"MATH 131A - NURBEKYAN, L.",0.054,0.297,0.054,0.135,0.189,0.081,0.054,0.081,NA,NA,NA,NA,0.027
"MATH 131AH - BOEDIHARDJO, M.T.",NA,0.5,0.115,NA,0.115,NA,0.038,0.077,0.077,NA,NA,NA,NA
"MATH 131B - HOFF, D.J.",NA,0.439,0.049,0.098,0.22,NA,0.049,0.024,0.098,NA,0.024,NA,NA
