"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"ITALIAN 3 - SPANO, O. LEC 2",0.059,0.294,0.118,0.118,0.176,0.059,NA,NA,NA,NA,0.059,NA,NA
"ITALIAN 4 - LAVAGNINO, C.G.",0.1,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 46 - HARRISON, T.J.",0.009,0.227,0.255,0.118,0.145,0.045,0.036,0.036,NA,0.027,0.009,0.009,0.009
"JAPAN 1 - KAWANISHI, Y.",0.021,0.368,0.2,0.074,0.116,0.042,0.021,0.032,NA,0.011,NA,0.011,0.021
"JAPAN 1 - TAKAKURA, A.H.",0.144,0.402,0.237,0.01,0.021,0.021,NA,0.021,NA,NA,0.01,0.01,NA
"JAPAN 100A - NOGAMI, Y.",0.022,0.174,0.217,0.065,0.087,0.174,0.065,0.022,0.109,NA,0.022,NA,0.022
"JAPAN 100R - IKEDA, E.",NA,0.211,0.368,0.263,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 101A - KAWANISHI, Y.",0.095,0.476,0.238,NA,0.048,NA,0.048,NA,NA,NA,NA,NA,NA
"JAPAN 110A - KANESAKA, K.K.",0.273,NA,0.091,0.364,NA,0.182,NA,NA,0.091,NA,NA,NA,NA
"JAPAN 161 - BODIFORD, W.M.",0.033,0.333,0.033,0.233,0.2,0.033,NA,0.1,NA,NA,NA,NA,0.033
"JAPAN 191B - YAMAZAKI, J.",NA,0.571,0.214,NA,0.071,0.143,NA,NA,NA,NA,NA,NA,NA
"JAPAN 297B - YAMAZAKI, J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 4 - IKEDA, E.",0.105,0.053,0.263,0.132,0.079,NA,0.053,NA,NA,NA,0.026,NA,NA
"JAPAN 4 - MENJO, S.",NA,0.04,0.24,0.2,0.16,0.04,NA,0.08,0.04,0.04,NA,NA,NA
"JAPAN 50 - KANESAKA, K.K.",0.048,0.349,0.249,0.085,0.074,0.032,0.021,0.016,0.021,NA,0.011,NA,0.011
"JEWISH 175 - HAKAK, L.",NA,0.529,0.059,0.029,0.176,NA,0.029,0.088,0.029,NA,0.059,NA,NA
"JEWISH M10 - BONESHO, C.E.",0.111,0.444,0.185,0.037,0.111,0.037,NA,NA,0.037,NA,NA,NA,0.037
"JEWISH M182A - SMOAK, J.D.",NA,0.385,0.231,0.231,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 1 - CHOI, J.B.",0.253,0.437,0.184,0.011,0.08,0.011,NA,NA,NA,NA,NA,NA,NA
"KOREA 1 - MITSUNAGA, J.I.",0.287,0.362,0.138,0.085,0.043,0.032,NA,NA,NA,NA,NA,NA,NA
"KOREA 100A - YOON, J.E.",0.167,0.208,0.167,0.125,0.167,0.083,0.042,0.042,NA,NA,NA,NA,NA
"KOREA 101A - YOON, J.E.",NA,0.5,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 102A - CHOI, J.B.",0.05,0.9,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 104A - JEON, S.",0.083,0.667,0.167,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 172 - OAK, S.",NA,0.567,0.1,0.067,0.033,0.033,0.033,0.133,NA,NA,NA,NA,0.033
"KOREA 180B - JUNG-KIM, J.J.",NA,0.158,0.368,0.211,NA,0.053,0.053,0.105,NA,NA,NA,NA,NA
"KOREA 184A - JUNG-KIM, J.J.",0.029,0.229,0.257,0.143,0.057,0.143,0.143,NA,NA,NA,NA,NA,NA
"KOREA 1A - JU, H.",0.571,0.245,0.122,NA,0.02,NA,NA,0.02,NA,NA,NA,NA,NA
"KOREA 4 - JEON, S.",0.424,0.333,0.091,0.121,NA,NA,NA,NA,NA,NA,NA,0.03,NA
"KOREA 4 - JU, H.",0.333,0.333,0.143,0.048,0.048,NA,0.048,NA,NA,NA,NA,NA,NA
"KOREA 50 - WANG, S.",0.013,0.278,0.241,0.165,0.076,0.013,0.038,0.013,NA,NA,NA,NA,0.025
"KOREA C150 - PARK, H.",0.2,0.267,0.067,NA,0.133,NA,0.2,NA,NA,NA,NA,NA,0.133
"LATIN 1 - BECKELHYMER, S.D.",0.154,0.154,0.077,NA,0.077,0.231,NA,0.154,NA,0.077,0.077,NA,NA
"LATIN 1 - BECKELHYMER, S.D. LEC 2",0.387,0.484,0.065,0.032,NA,NA,NA,0.032,NA,NA,NA,NA,NA
"LATIN 1 - BECKELHYMER, S.D. LEC 3",0.438,0.312,0.062,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"LATIN 1 - BECKELHYMER, S.D. LEC 4",0.524,0.238,0.143,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA
"LATIN 3 - BECKELHYMER, S.D.",0.182,0.091,0.091,NA,0.182,NA,0.091,NA,NA,0.091,NA,NA,NA
"LAW 100 - STONE, R.",0.05,0.175,0.225,0.3,0.125,0.125,NA,NA,NA,NA,NA,NA,NA
"LAW 100 - STONE, R. LEC 8",NA,0.162,0.243,0.216,0.189,0.189,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - ANDERSON, A.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - GOMEZ, L.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - GOODMAN, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - MORAN, R.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - MOTOMURA, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - SCALLEN, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 101 - WONSOWICZ, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - COLLINS, A.",0.045,0.227,0.273,0.227,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - COLLINS, A. LEC 1F",0.043,0.13,0.261,0.304,0.043,0.043,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - CRAMER, J.",NA,0.28,0.28,0.2,0.08,0.04,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LANNING, D.P.",0.04,0.24,0.24,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LANNING, D.P. LEC 1J",0.043,0.217,0.261,0.304,0.043,0.043,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LIGHT, J.A.",0.042,0.208,0.25,0.208,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LIGHT, J.A. LEC 1L",0.045,0.182,0.364,0.136,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LYON GROSSMAN, K.A",0.04,0.2,0.32,0.16,0.04,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LYON GROSSMAN, K.A LEC 1I",0.043,0.261,0.217,0.261,0.043,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WETZSTEIN, S.R.",0.045,0.136,0.227,0.364,0.091,0.091,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WETZSTEIN, S.R. LEC 1D",0.042,0.25,0.292,0.292,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WHITCUP, A.R.",0.042,0.25,0.25,0.25,0.042,0.042,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WHITCUP, A.R. LEC 1P",NA,0.269,0.308,0.192,0.115,0.038,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - DOLOVICH, S.",0.025,0.125,0.225,0.3,0.175,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - THAXTON, S.",0.026,0.154,0.231,0.282,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BALDWIN CLARK, L.J",0.053,0.105,0.211,0.289,0.184,0.158,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BRYANT, T.L.",0.026,0.154,0.231,0.282,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - RILEY, A.R.",0.075,0.1,0.15,0.325,0.175,0.175,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - RILEY, A.R. LEC 6",0.024,0.122,0.268,0.195,0.22,0.171,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - TSOSIE, R.A.",0.023,0.14,0.209,0.279,0.186,0.163,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - ZASLOFF, J.",NA,0.15,0.25,0.25,0.2,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - EMERSON, B.E.",0.054,0.135,0.216,0.27,0.162,0.162,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - GRADY, M.",0.026,0.077,0.333,0.308,0.179,0.077,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - GRADY, M. LEC 2",0.027,0.27,0.135,0.189,0.135,0.243,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - MORAN, R.F.",0.026,0.154,0.231,0.282,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - WANG, A.",0.048,0.19,0.143,0.214,0.238,0.167,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - WANG, A. LEC 4",NA,0.158,0.342,0.289,0.079,0.132,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - MARCUS, D.W.",0.026,0.205,0.128,0.333,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - MARCUS, D.W. LEC 8",NA,0.162,0.324,0.189,0.162,0.162,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCALLEN, E.",NA,0.22,0.146,0.293,0.073,0.268,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCALLEN, E. LEC 4",0.026,0.132,0.263,0.237,0.237,0.105,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCHWARTZ, J.C.",0.075,0.075,0.3,0.275,0.125,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCHWARTZ, J.C. LEC 2",0.026,0.211,0.184,0.237,0.184,0.158,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SPILLENGER, C.S.",0.077,0.128,0.205,0.256,0.179,0.103,0.051,NA,NA,NA,NA,NA,NA
"LAW 145 - SPILLENGER, C.S. LEC 6",0.026,0.128,0.256,0.256,0.179,0.103,0.051,NA,NA,NA,NA,NA,NA
"LAW 150 - WANG, K.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 160 - VOLOKH, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 201 - VOLOKH, E.",0.048,0.131,0.214,0.31,0.107,0.036,NA,NA,NA,NA,NA,NA,NA
"LAW 202 - COLGAN, B.",0.009,0.183,0.239,0.321,0.128,0.009,0.009,0.009,NA,NA,NA,NA,NA
"LAW 205 - GOODMAN, P.D.",0.038,0.154,0.244,0.359,0.115,0.051,NA,NA,NA,NA,NA,NA,NA
"LAW 207 - SLEVIN, H.F.",0.029,0.343,0.057,0.457,0.086,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 209 - NELSON, G.S.",0.158,0.105,0.158,0.211,0.158,0.158,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - EAGLY, I.",0.045,0.144,0.243,0.342,0.171,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - WONSOWICZ, P.",0.028,0.168,0.234,0.346,0.159,0.037,NA,NA,NA,NA,NA,NA,NA
"LAW 220 - BANK, S.",0.018,0.175,0.211,0.368,0.123,0.035,0.053,NA,NA,NA,NA,NA,NA
"LAW 220 - OH, J.S.",0.032,0.177,0.226,0.355,0.145,0.016,NA,NA,NA,NA,NA,NA,NA
"LAW 228 - BAINBRIDGE, S.M.",0.043,0.191,0.191,0.404,0.128,0.021,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - BAINBRIDGE, S.M.",NA,0.162,0.219,0.362,0.124,0.01,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - KIM, S.H.",0.036,0.164,0.227,0.345,0.1,0.064,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - LOPUCKI, L.M.",0.027,0.151,0.219,0.356,0.178,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 234 - POWER, J.J.",0.062,0.125,0.25,0.359,0.188,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 248 - BUSSEL, D.J.",0.105,0.158,0.211,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 252 - MITTLEMAN, H.A.",0.093,0.209,0.14,0.395,0.14,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 266 - GOMEZ, L.E.",0.027,0.324,0.081,0.459,0.081,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 270 - ABOU EL FADL, K.M.",0.062,0.125,0.312,0.375,0.062,0.062,NA,NA,NA,NA,NA,NA,NA
"LAW 272 - STEINBERG, R.H.",0.056,0.278,0.167,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 274 - CRITTENDEN, J.W.",0.018,0.196,0.214,0.357,0.196,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 277 - GARDBAUM, S.A.",0.038,0.115,0.308,0.462,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 290 - HOROWITZ, C.",0.029,0.324,0.118,0.353,0.118,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 300 - HAYDEN, P.T.",0.031,0.154,0.2,0.369,0.108,0.046,0.015,NA,NA,NA,NA,NA,NA
"LAW 302 - NETANEL, N.W.",0.042,0.153,0.236,0.319,0.125,0.014,0.014,NA,NA,NA,NA,NA,NA
"LAW 303 - GENCO, S.C.",0.09,0.104,0.239,0.358,0.179,0.015,0.015,NA,NA,NA,NA,NA,NA
"LAW 305 - AKENS, S.E.",0.038,0.162,0.25,0.35,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 305 - LA TERZA, N.R.",NA,0.204,0.241,0.352,0.185,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 306 - LICHTMAN, D.G.",0.028,0.278,0.167,0.444,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - DERIAN, S.K.",0.035,0.163,0.221,0.36,0.198,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - OLSEN, F.E.",0.031,0.124,0.237,0.381,0.175,0.021,NA,NA,NA,NA,NA,NA,NA
"LAW 316 - PENA, C.L.",0.033,0.367,0.067,0.467,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 318 - SUSMAN, A.L.",NA,0.19,0.333,0.429,0.048,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 319 - TOLSON, F.",0.095,0.095,0.238,0.381,0.095,0.048,NA,NA,NA,NA,NA,NA,NA
"LAW 326 - HORWITZ, J.",0.056,0.167,0.222,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 331 - MOTOMURA, H.",0.032,0.145,0.242,0.306,0.081,0.048,0.016,0.016,0.016,NA,NA,NA,NA
"LAW 350 - BOYD, W.C.",NA,0.333,0.143,0.19,0.238,0.048,NA,NA,NA,NA,NA,NA,NA
"LAW 358 - POWER, J.J.",0.051,0.136,0.203,0.39,0.169,0.034,NA,NA,NA,NA,NA,NA,NA
"LAW 364 - ZIFFREN, K.",0.1,0.1,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 376 - OLSEN, F.E.",0.095,0.238,0.143,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 380 - STARK, K.J.",0.087,0.391,0.043,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 390 - BAWDEN, E.A.",0.1,0.2,0.2,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 397 - FISCHER, C.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 399 - MULLER, F.T.",0.2,0.133,0.133,0.4,0.067,0.067,NA,NA,NA,NA,NA,NA,NA
"LAW 403 - CHUNG, T.Y.",0.048,0.143,0.238,0.365,0.206,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 406 - ABRAMS, C.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 406 - ABRAMS, C.J. LEC 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 406 - MERRILL, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 406 - MERRILL, C.A. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 406 - MERRILL, C.A. LEC 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 410 - MARCUS, D.W.",0.023,0.159,0.273,0.386,0.091,NA,0.023,NA,NA,NA,NA,NA,NA
"LAW 424 - STONE, R.",NA,0.286,0.214,0.357,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 427 - GORDON, J.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 427 - GORDON, J.S. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 432 - BANK, S.",0.036,0.321,0.107,0.286,0.179,0.036,NA,NA,NA,NA,NA,NA,NA
"LAW 439 - CANNON, K.C.",0.061,0.242,0.152,0.455,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 440 - ROBERTS, M.T.",0.029,0.371,0.086,0.429,0.086,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 446 - ABE, G.J.",NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 447 - HARTMAN, S.E.",0.118,0.294,0.059,0.353,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 470 - GOODMAN, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 470 - MERRILL, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 470 - REICH, P.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 475 - REICH, P.L.",0.039,0.158,0.237,0.355,0.197,0.013,NA,NA,NA,NA,NA,NA,NA
"LAW 483 - ALBEN, A.D.",0.103,0.31,0.069,0.414,0.103,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 509 - TSOSIE, R.A.",0.167,0.722,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 511A - NETANEL, N.W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 529 - BEGLIN, D.P.",0.071,0.643,0.071,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 536 - STARK, K.J.",0.118,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 537 - ZATZ, N.D.",0.04,0.4,0.24,0.28,0.04,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - EAGLY, I.",0.176,0.706,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - NARRO, V.H.",0.062,0.812,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - SEARS, R.B.",0.062,0.812,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - BANK, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - CUMMINGS, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - DOLOVICH, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - EAGLY, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - GREENBERG, M.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - LICHTMAN, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - MICHAELS, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - OH, J.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 561A - SPILLENGER, C.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 566 - PEAKE, J.S.",NA,0.412,0.529,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 569A - SHIFFRIN, S.",NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 572A - CRAMER, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 578 - HESSLER, C.A.",NA,0.6,0.15,0.15,0.05,0.05,NA,NA,NA,NA,NA,NA,NA
"LAW 584 - STEMPLE, L.",0.062,0.375,0.312,0.125,0.125,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 596 - STEMPLE, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 612 - CANTOR, J.D.",0.083,0.5,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 615 - HECHT, S.B.",NA,0.5,0.333,0.111,NA,NA,0.056,NA,NA,NA,NA,NA,NA
"LAW 636 - WANG, A.",0.1,0.45,0.25,0.15,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 644 - EMERSON, B.E.",0.062,0.375,0.5,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 657 - STEINBERG, R.H.",0.077,0.846,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 671 - FALSAFI, S.",NA,0.5,0.312,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 678 - DECKER, E.M.",0.111,0.278,0.444,0.056,0.111,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 683 - COHEN, D.M.",0.176,0.118,0.353,0.176,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 700 - BABBE, D.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 700 - REGAN, A.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 702 - LIGHT, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 705 - ANDERSON, C.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 705 - BERNSTEIN, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 705 - BERNSTEIN, J.B. LEC 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 707 - LANNING, D.P.",0.05,0.4,0.35,0.15,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 720 - CARDONA, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 720 - JOHNSON, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 721 - BOCARSLY, L.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 738 - STEIN, J.E.",0.1,0.6,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 739 - CUMMINGS, S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 741 - MALLOY, T.",NA,0.929,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 757 - BABBE, D.B.",0.125,0.5,0.25,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 763 - KOROBKIN, S.A.",NA,0.333,0.25,0.25,0.083,0.083,NA,NA,NA,NA,NA,NA,NA
"LAW 764 - KOROBKIN, S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 769 - COHEN, D.M.",0.214,0.357,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 779 - CONSOLI, A.",0.111,0.778,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 787 - REICH, P.L.",0.1,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 801 - DAVIDSON, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 807 - CHRIST, A.C.",NA,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 809 - SCHNAPS, A.",0.067,0.867,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR&WS 10 - VALENZUELA, A.",NA,0.451,0.245,0.117,0.105,0.027,0.016,0.012,NA,NA,NA,NA,NA
"LBR&WS 101 - RIVERA-SALGADO, G.",0.08,0.32,0.28,0.06,0.1,0.05,0.04,NA,0.01,NA,0.01,NA,0.03
"LBR&WS 140 - ESPINO, V.R.",0.286,0.31,0.19,0.048,0.024,0.095,NA,NA,NA,NA,NA,NA,0.024
"LBR&WS 174 - KOONSE, T.F.",0.258,0.435,0.081,0.032,0.048,0.032,0.032,0.016,NA,NA,0.016,NA,NA
"LBR&WS 179A - ROCCO, R.A.",0.065,0.323,0.194,0.226,0.032,0.032,NA,NA,NA,NA,NA,NA,0.065
"LBR&WS M166A - RODRIGUEZ, M.I.",0.054,0.728,0.109,0.033,0.022,0.054,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 181 - MORRIS, M.B.",NA,0.278,0.167,0.111,0.222,0.111,0.056,0.056,NA,NA,NA,NA,NA
"LIFESCI 107 - PHAM, H.D.",0.134,0.379,0.108,0.088,0.114,0.046,0.026,0.052,0.007,0.007,0.02,NA,0.01
"LIFESCI 110 - KENNISON, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 15 - PHELAN, J.P.",0.017,0.284,0.089,0.101,0.21,0.072,0.034,0.147,0.006,NA,0.006,NA,0.006
"LIFESCI 192A - SHAKED, S.",0.083,0.885,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - PIRES, D.B.",0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHAKED, S.",NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - PIRES, D.B.",0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PFLUEGL, G.M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PIRES, D.B.",0.167,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHAKED, S.",NA,0.857,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHEVTSOV, J.",NA,0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192E - SHAKED, S.",NA,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 20 - SHEVTSOV, J.",0.023,0.302,0.116,0.116,0.302,0.047,0.047,0.047,NA,NA,NA,NA,NA
"LIFESCI 20 - SHEVTSOV, J. LEC 2",0.15,0.05,NA,0.1,0.25,0.3,0.05,0.1,NA,NA,NA,NA,NA
