"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"LGBTQS M137 - ACE, J.",0.308,0.231,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGBTQS M137 - FITZPATRICK, E.A.",0.067,0.067,0.733,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 107 - MALOY, J.P.",0.57,0.064,0.192,0.041,0.029,0.058,0.012,NA,0.035,NA,NA,NA,NA
"LIFESCI 15 - PHELAN, J.P.",0.484,0.113,0.081,0.097,0.032,0.129,0.048,NA,0.016,NA,NA,NA,NA
"LIFESCI 23L - PFLUEGL, G.M.",0.213,0.042,0.711,0.015,0.004,0.004,NA,0.004,0.004,0.004,NA,NA,NA
"LIFESCI 30A - LANNAN, R.",0.381,0.214,NA,0.119,0.024,0.071,0.048,NA,0.048,0.024,0.024,NA,0.048
"LIFESCI 30A - SHEVTSOV, J.",0.375,0.156,0.188,0.125,NA,0.125,NA,NA,0.031,NA,NA,NA,NA
"LIFESCI 30A - VENUGOPAL, S.",0.449,0.038,0.423,0.013,NA,0.064,NA,NA,NA,0.013,NA,NA,NA
"LIFESCI 30B - VENUGOPAL, S.",0.373,0.059,0.373,0.059,NA,0.059,0.039,NA,0.02,NA,NA,NA,0.02
"LIFESCI 7A - DAS, S.",0.425,0.082,NA,0.178,0.027,0.082,0.123,NA,0.027,0.027,NA,NA,0.027
"LIFESCI 7A - GUTIERREZ, M.A.",0.524,0.095,0.31,NA,0.024,0.012,0.012,NA,NA,0.024,NA,NA,NA
"LIFESCI 7A - KHANKAN, R.R.",0.387,0.161,0.032,0.129,0.129,0.065,0.065,NA,0.032,NA,NA,NA,NA
"LIFESCI 7A - MULJI, A.K.",0.624,0.12,NA,0.103,0.043,0.077,NA,NA,0.017,0.009,NA,NA,0.009
"LIFESCI 7B - KANE, T.L.",0.698,0.095,0.008,0.056,0.032,0.087,NA,NA,0.024,NA,NA,NA,NA
"LIFESCI 7B - PIRES, D.B.",0.571,0.19,NA,0.095,0.048,0.095,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 7B - ROBERTSON, S.Y.",0.392,0.304,NA,0.114,0.063,0.089,NA,NA,0.025,NA,NA,NA,0.013
"LIFESCI 7C - DAS, S.",0.371,0.248,NA,0.095,0.048,0.152,0.048,NA,0.038,NA,NA,NA,NA
"LIFESCI 7C - GUTIERREZ, M.A.",0.519,0.145,0.176,0.061,0.023,0.046,0.015,NA,0.015,NA,NA,NA,NA
"LIFESCI 7C - KHANKAN, R.R.",0.609,0.13,NA,0.087,NA,0.13,NA,NA,NA,NA,NA,NA,0.043
"LING 1 - MAJOR, T.J.",0.403,0.118,0.347,0.069,0.021,0.042,NA,NA,NA,NA,NA,NA,NA
"LING 1 - TORRENCE, W.H.",0.316,0.129,0.431,0.048,0.014,0.033,0.01,NA,NA,NA,NA,NA,0.019
"LING 103 - PRECHTEL, C.E.",0.278,0.278,0.111,0.111,0.056,NA,0.056,NA,0.056,NA,NA,NA,0.056
"LING 111 - RETT, J.L.",NA,0.25,0.083,0.167,0.083,0.167,NA,NA,NA,0.083,NA,NA,0.167
"LING 120A - KATSUDA, H.",0.269,0.192,0.154,0.115,0.115,0.038,0.038,NA,NA,0.077,NA,NA,NA
"LING 120B - RETT, J.L.",0.314,0.086,0.229,0.057,0.029,0.086,0.114,0.057,0.029,NA,NA,NA,NA
"LING 120C - O'LEARY, M.C.",0.273,0.091,0.455,NA,0.091,NA,NA,NA,0.045,0.045,NA,NA,NA
"LING 130 - LIU, M.",0.273,0.182,0.091,NA,NA,0.364,0.091,NA,NA,NA,NA,NA,NA
"LING 185A - MAYER, C.J.",0.25,NA,0.333,NA,0.083,0.083,NA,0.083,NA,0.083,NA,0.083,NA
"LING 20 - ABENINA-ADAR, M.",0.167,0.278,NA,0.111,0.167,0.222,NA,NA,NA,NA,NA,NA,0.056
"LING 20 - RETT, J.L.",0.05,0.1,0.65,0.05,0.05,0.05,NA,NA,0.05,NA,NA,NA,NA
"MAT SCI 104 - GOORSKY, M.S.",0.323,0.129,0.032,0.194,0.032,0.145,0.016,0.016,0.048,0.032,0.032,NA,NA
"MAT SCI 250B - YANG, J.",0.25,0.25,NA,0.1,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"MATH 1 - GREENE, M.P.",0.483,0.017,0.397,0.052,NA,NA,0.017,NA,NA,NA,NA,NA,0.034
"MATH 1 - OWAKA, E.A.",0.409,0.045,NA,0.273,0.091,0.091,0.045,NA,0.045,NA,NA,NA,NA
"MATH 110A - OUELLETTE, K.R.",0.261,0.043,0.043,0.217,0.13,0.261,NA,NA,NA,NA,NA,NA,0.043
"MATH 115A - HEMPEL, N.",0.246,0.232,0.058,0.174,0.087,0.116,0.014,NA,0.029,0.029,NA,NA,0.014
"MATH 115A - NURBEKYAN, L.",0.41,0.179,NA,NA,0.103,0.179,0.026,0.026,NA,NA,NA,NA,0.077
"MATH 131A - ARANT, T.J.",0.516,0.141,0.016,0.109,0.078,0.062,0.016,0.016,0.031,NA,NA,NA,0.016
"MATH 131A - MADRID PADILLA, J.",0.25,0.103,0.044,0.088,0.147,0.147,0.088,0.029,0.088,NA,NA,NA,0.015
"MATH 132 - ARANT, T.J.",0.561,0.024,NA,0.146,0.049,0.146,0.073,NA,NA,NA,NA,NA,NA
"MATH 134 - SALAZAR, R.",0.633,0.133,NA,0.033,0.067,0.067,0.033,0.033,NA,NA,NA,NA,NA
"MATH 135 - OUELLETTE, K.R.",0.478,0.087,0.087,0.13,0.087,NA,NA,0.087,NA,NA,NA,NA,0.043
"MATH 142 - SPROUSE, C.S.",0.581,0.097,0.032,0.065,NA,0.065,0.129,NA,NA,0.032,NA,NA,NA
"MATH 151A - VESE, L.A.",0.286,0.048,0.655,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA
"MATH 151B - DEUTSCH, S.",0.717,0.087,0.065,0.043,0.022,0.043,NA,0.022,NA,NA,NA,NA,NA
"MATH 156 - HADDOCK, J.",0.769,NA,0.038,0.038,NA,0.077,NA,NA,0.038,NA,NA,NA,0.038
"MATH 164 - MENZ, G.",0.297,0.216,0.135,0.081,0.054,0.216,NA,NA,NA,NA,NA,NA,NA
"MATH 167 - MENZ, G.",0.294,0.176,0.206,0.088,0.088,0.118,NA,NA,NA,NA,NA,NA,0.029
"MATH 170E - OZEL, E.",0.469,0.086,0.012,0.111,0.099,0.136,0.025,NA,0.062,NA,NA,NA,NA
"MATH 170S - LYU, H.",0.316,0.316,0.026,0.184,0.026,0.079,NA,0.026,0.026,NA,NA,NA,NA
"MATH 174E - LYU, H.",0.369,0.138,0.015,0.138,0.077,0.185,NA,0.031,0.015,NA,NA,NA,0.031
"MATH 177 - OZEL, E.",0.597,0.13,NA,0.078,0.013,0.052,0.026,0.039,0.039,NA,0.013,0.013,NA
"MATH 182 - GEHRET, A.R.",0.568,0.189,0.108,0.027,0.027,0.054,NA,NA,0.027,NA,NA,NA,NA
"MATH 31A - GREENE, M.P.",0.698,0.057,0.189,NA,0.019,0.019,NA,NA,NA,NA,NA,NA,0.019
"MATH 31A - SPROUSE, C.S.",0.594,0.078,0.031,0.062,NA,0.172,0.047,NA,NA,NA,NA,NA,0.016
"MATH 31B - MORENO, A.J.",0.369,0.108,NA,0.2,0.062,0.077,0.046,0.031,0.031,NA,NA,0.031,0.046
"MATH 32A - WANG, S.X.",0.276,0.31,NA,0.103,0.069,0.086,0.034,0.017,0.034,0.017,0.017,0.034,NA
"MATH 32A - WILLIS, M.S.",0.5,0.088,NA,0.221,0.015,0.103,0.074,NA,NA,NA,NA,NA,NA
"MATH 32B - GREENE, R.E.",0.179,0.179,0.119,0.239,0.075,0.06,0.104,0.015,0.03,NA,NA,NA,NA
"MATH 33A - FILIPAZZI, S.",0.47,0.194,0.022,0.06,0.022,0.164,0.037,NA,0.022,NA,NA,NA,0.007
"MATH 33B - SALAZAR, R.",0.828,0.086,NA,0.022,0.022,0.043,NA,NA,NA,NA,NA,NA,NA
"MATH 3C - GREENE, M.P.",0.508,0.034,0.373,0.034,NA,NA,NA,0.017,0.034,NA,NA,NA,NA
"MATH 61 - OZEL, E.",0.728,0.061,0.088,0.044,0.018,0.044,NA,NA,0.018,NA,NA,NA,NA
"MATH 95 - ARANT, T.J.",0.211,0.105,0.053,0.263,0.105,0.105,0.053,NA,0.053,NA,NA,NA,0.053
"MCD BIO 100 - MCWHORTER, A.L.",0.25,0.05,0.2,0.05,0.15,0.1,0.05,NA,0.05,0.05,NA,NA,0.05
"MCD BIO 138 - RIGUEUR, D.",0.889,0.037,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 144 - RIGUEUR, D.",0.972,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 187AL - KACZOR-URBANOWICZ,",0.381,0.286,0.19,0.095,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 50 - MCWHORTER, A.L.",0.267,0.033,0.567,NA,NA,0.067,0.067,NA,NA,NA,NA,NA,NA
"MCD BIO 60 - GALLAGHER, K.J.",0.576,0.364,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 90 - HOOSHMAND, M.J.",0.222,0.444,0.037,0.037,0.037,0.037,0.111,0.037,0.037,NA,NA,NA,NA
"MECH&AE 103 - KAVEHPOUR, H.P.",0.3,0.333,0.3,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 105A - PILON, L.G.",0.269,0.308,0.192,0.077,NA,0.038,0.038,NA,NA,0.038,NA,NA,0.038
"MECH&AE 150B - ZHONG, X.",0.667,0.111,NA,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 156A - MAL, A.K.",0.5,NA,NA,0.312,NA,0.125,0.062,NA,NA,NA,NA,NA,NA
"MECH&AE 161B - WIRZ, R.E.",0.353,0.059,0.176,0.059,NA,0.118,0.059,NA,0.059,NA,NA,NA,0.118
"MECH&AE 171A - KIM, D.D.",0.545,0.182,NA,0.061,NA,NA,0.091,0.061,0.061,NA,NA,NA,NA
"MECH&AE 250D - ZHONG, X.",0.929,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 256F - GUPTA, V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 94 - SHAEFER, R.S.",0.382,0.218,0.182,0.055,0.036,0.091,0.018,NA,NA,NA,0.018,NA,NA
"MECH&AE C296A - GHONIEM, N.M.",0.071,0.071,NA,0.286,0.143,0.357,0.071,NA,NA,NA,NA,NA,NA
"MED 180 - MORENO, G.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MED 185 - HUI, K.P.",0.345,0.138,0.414,0.034,0.034,0.034,NA,NA,NA,NA,NA,NA,NA
"MGMT 108 - KLEIN, G.L.",0.182,0.159,0.045,0.091,0.091,0.341,NA,0.023,0.045,0.023,NA,NA,NA
"MGMT 120A - LU, M.",0.214,0.214,0.071,0.143,NA,0.321,NA,NA,0.036,NA,NA,NA,NA
"MGMT 120B - LU, M.",0.214,0.119,0.095,0.143,0.071,0.262,NA,0.024,0.048,NA,NA,NA,0.024
"MGMT 127A - KLEIN, G.L.",0.231,0.154,0.231,0.077,0.154,NA,0.077,0.077,NA,NA,NA,NA,NA
"MGMT 127B - GARDNER TRELOAR, J",0.692,0.077,NA,NA,NA,0.077,NA,0.077,NA,NA,NA,NA,0.077
"MGMT 142A - RAVETCH, D.S.",0.473,0.365,NA,0.027,NA,0.095,0.027,NA,NA,NA,NA,NA,0.014
"MGMT 142B - RAVETCH, D.S.",0.75,0.1,NA,0.05,NA,0.05,0.05,NA,NA,NA,NA,NA,NA
"MGMT 160 - AGHILI, K.",0.429,0.143,0.048,0.095,NA,0.143,0.048,NA,0.095,NA,NA,NA,NA
"MGMT 160 - WILSON, N.M.",0.186,0.233,0.047,0.14,0.023,0.233,NA,0.047,NA,0.047,NA,0.023,0.023
"MGMT 163 - ROSTAMIAN, F.D.",0.219,0.25,0.031,0.125,NA,0.375,NA,NA,NA,NA,NA,NA,NA
"MGMT 167 - NORTHROP, G.S.",0.391,0.13,0.087,0.13,NA,0.261,NA,NA,NA,NA,NA,NA,NA
"MGMT 180 - BURRELL, R.A.",0.529,0.176,0.059,0.059,NA,0.059,NA,0.059,NA,NA,NA,NA,0.059
"MGMT 180 - FOROUZANDEH, F.",0.176,NA,0.647,NA,0.059,NA,0.059,NA,NA,NA,NA,NA,0.059
"MGMT 180 - FRANCIS, A.M.",0.514,0.027,0.351,NA,0.027,0.081,NA,NA,NA,NA,NA,NA,NA
"MGMT 180 - GEBHARDT, C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 180 - KINBERG, M.H.",0.818,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 180 - MACY, B.W.",0.963,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 180 - RAVETCH, D.S.",0.273,0.273,NA,0.091,NA,0.273,NA,NA,NA,0.091,NA,NA,NA
"MGMT 180 - ULLMEN, J.B.",0.98,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 182 - ULLMEN, J.B.",0.99,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 1A - WOO, E.A.",0.534,0.068,0.027,0.192,0.014,0.123,0.041,NA,NA,NA,NA,NA,NA
"MGMT 1B - GARDNER TRELOAR, J",0.339,0.138,0.018,0.138,0.101,0.037,0.046,0.028,0.064,NA,NA,0.018,0.073
"MGMT 241A - KRAMER, T.D.",0.306,0.167,NA,0.208,0.083,0.194,NA,0.014,0.028,NA,NA,NA,NA
"MGMT 265 - POLLACK, G.J.",0.284,0.418,NA,NA,NA,0.299,NA,NA,NA,NA,NA,NA,NA
"MGMT 286 - UNZUETA, M.M.",0.155,0.483,0.017,0.086,NA,0.259,NA,NA,NA,NA,NA,NA,NA
"MGMT 295A - NATHANSON, D.A.",0.465,0.424,NA,0.01,NA,0.101,NA,NA,NA,NA,NA,NA,NA
"MGMT 430 - BERNARDO, A.E.",0.446,0.066,0.05,0.289,0.017,0.132,NA,NA,NA,NA,NA,NA,NA
"MGMT 466B - KAHL, M.",0.462,0.154,0.051,0.128,NA,0.205,NA,NA,NA,NA,NA,NA,NA
"MGMT 488 - SCHEINROCK, J.I.",0.228,0.402,0.011,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA
"MGMT 88 - FREIXES, G.",0.467,0.078,0.033,0.267,0.011,0.144,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 439 - WACZIARG, R.T.",0.405,0.19,0.071,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - BLEVINS, J.",0.167,0.167,0.133,0.167,0.167,0.2,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - GEIS, G.T.",0.333,0.262,NA,0.19,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - GOLDSTEIN, N.J.",0.294,0.059,0.147,0.088,NA,0.412,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - HOLLENBECK, B.W.",0.474,0.158,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - LEE, J.J.",0.204,0.265,0.163,0.143,NA,0.224,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - TERECH, A.",0.111,0.278,NA,0.056,NA,0.556,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 411 - CARO, F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIMG 158 - MILLER, J.H.",0.83,0.021,0.106,0.021,NA,0.021,NA,NA,NA,NA,NA,NA,NA
"MSC IND 101 - CARLOS, C.",0.731,0.115,0.038,NA,0.038,0.038,NA,NA,0.038,NA,NA,NA,NA
"MSC IND 101 - STEIN, D.",0.857,0.071,0.036,NA,NA,0.036,NA,NA,NA,NA,NA,NA,NA
"MSC IND 107A - GONZALEZ, R.",0.688,0.062,0.208,0.021,NA,NA,NA,NA,NA,NA,NA,NA,0.021
"MSC IND 112A - PASTERNAK, N.J.",0.682,0.227,0.045,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 115 - MOSELEY, A.M.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 55 - LEAF, D.A.",0.029,NA,0.941,NA,NA,NA,NA,NA,0.029,NA,NA,NA,NA
"MUSC 3 - KROUSE, I.",0.286,0.143,0.357,0.071,NA,NA,NA,NA,NA,NA,NA,NA,0.143
"MUSC 7 - KROUSE, I.",0.429,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 12W - BONCZYK, P.D.",0.375,0.188,0.312,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 12W - BRUNSON, K.A.",0.833,0.056,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 12W - HALLENBECK, A.",0.529,0.235,0.059,0.059,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 12W - OTT, C.C.",0.789,0.105,NA,NA,0.053,NA,0.053,NA,NA,NA,NA,NA,NA
"MUSCLG 5 - KILMAN, S.M.",0.318,0.273,0.091,0.091,0.045,0.182,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 68 - BERNARD, R.S.",0.963,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 69 - VALDEZ-GUILLEN, K.",0.214,0.357,0.357,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 7 - GRAHAM, P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 8 - HANSLOWE, T.",0.963,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG M137 - ACE, J.",0.615,NA,0.308,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG M137 - FITZPATRICK, E.A.",0.286,0.143,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROSC 10 - BABIEC, W.E.",0.429,0.19,0.143,0.048,0.024,0.095,0.024,NA,NA,NA,NA,NA,0.048
"NEUROSC 102 - LEBELLE, J.",0.548,0.131,NA,0.024,0.036,0.143,0.048,0.012,0.024,0.024,NA,NA,0.012
"NEUROSC M145 - CHANDLER, S.H.",0.6,NA,0.133,0.133,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"NEUROSC M161 - BILDER, R.M.",0.273,0.091,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 13 - CARPENTER, C.L.",0.259,0.13,0.537,0.019,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"NURSING 164 - KNOLL, M.P.",0.08,0.34,NA,0.22,0.16,0.14,NA,0.04,0.02,NA,NA,NA,NA
"NURSING 165 - JACOB, E.",0.412,0.216,0.255,0.039,NA,0.078,NA,NA,NA,NA,NA,NA,NA
"NURSING 175 - FREDRICKSON, J.M.",0.349,0.133,0.47,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"NURSING 204 - THOMAS, E.A.",0.468,0.213,0.298,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA
"NURSING 268 - CUENCA, E.L.",0.5,0.353,0.132,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA
"NURSING 3 - CARPENTER, C.L.",0.337,0.253,0.253,0.042,0.021,0.095,NA,NA,NA,NA,NA,NA,NA
"NURSING 408 - KEENAN, C.K.",0.1,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 410 - SHINNICK, M.A.",0.357,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 461 - BRIDEWELL, P.A.",0.667,0.028,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 465C - SHINNICK, M.A.",0.099,0.38,NA,0.211,0.07,0.197,0.014,0.028,NA,NA,NA,NA,NA
"NURSING 470A - BUSH, N.",0.4,NA,0.5,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"NURSING 50 - JUNG, S.",0.296,0.111,0.444,NA,0.037,0.111,NA,NA,NA,NA,NA,NA,NA
"PHILOS 129 - RESCORLA, M.A.",0.276,0.241,NA,0.103,0.034,0.207,NA,NA,0.103,NA,NA,NA,0.034
"PHILOS 155A - RESCORLA, M.A.",0.375,0.188,0.031,0.156,NA,0.031,0.062,0.062,NA,0.031,0.062,NA,NA
"PHILOS 166 - RESCORLA, M.A.",0.444,0.333,NA,0.056,NA,0.139,NA,NA,NA,NA,NA,NA,0.028
"PHILOS 177A - RESCORLA, M.A.",0.767,0.186,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,NA
"PHILOS 22 - KAVKA-WARREN, A.S.",0.514,0.114,NA,0.086,0.057,0.171,NA,NA,NA,NA,NA,NA,0.057
"PHILOS 3 - RESCORLA, M.A.",0.579,0.184,NA,0.105,0.026,0.105,NA,NA,NA,NA,NA,NA,NA
"PHILOS 31 - DE LEON, C.M.",0.444,0.074,0.037,0.037,0.185,0.074,0.074,NA,0.037,NA,NA,NA,0.037
"PHILOS 31 - ODLAND, T.",0.824,0.059,NA,0.059,NA,NA,0.059,NA,NA,NA,NA,NA,NA
"PHILOS 6 - RESCORLA, M.A.",0.469,0.312,NA,NA,NA,0.156,NA,0.031,NA,NA,0.031,NA,NA
"PHILOS 7 - CRIMI, M.J.",0.258,0.29,0.226,NA,0.065,0.065,NA,0.065,0.032,NA,NA,NA,NA
"PHILOS 7 - JOHNSTON, K.",0.219,0.125,NA,0.094,0.094,0.281,0.094,NA,0.031,NA,NA,NA,0.062
"PHILOS C119 - RESCORLA, M.A.",0.25,0.167,NA,0.208,0.062,0.208,0.062,NA,0.021,NA,NA,NA,0.021
"PHILOS C127A - RESCORLA, M.A.",0.13,0.174,NA,0.13,0.087,0.217,0.087,NA,0.087,NA,NA,0.043,0.043
"PHILOS M187 - RESCORLA, M.A.",0.35,0.1,0.2,0.05,0.05,0.2,NA,0.05,NA,NA,NA,NA,NA
"PHYSCI 121 - CHOE, R.",0.524,0.095,0.095,0.048,0.048,0.19,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 122 - DAUER, E.A.",0.432,0.243,0.108,0.189,0.027,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 13 - KHANKAN, R.",0.581,0.128,0.081,0.07,0.023,0.081,0.012,NA,0.012,NA,NA,NA,0.012
"PHYSCI 136 - ESDIN, J.",0.5,0.306,NA,0.056,NA,0.139,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 166 - ESDIN, J.",0.784,0.059,0.02,0.02,NA,0.078,0.039,NA,NA,NA,NA,NA,NA
"PHYSCI 3 - COOPER, R.H.",0.182,0.091,NA,0.208,0.143,0.312,0.039,NA,0.026,NA,NA,NA,NA
"PHYSCI 5 - ESDIN, J.",0.606,0.182,NA,0.121,NA,0.03,0.061,NA,NA,NA,NA,NA,NA
"PHYSCI M145 - CHANDLER, S.H.",0.25,NA,0.125,0.312,0.188,0.125,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 10 - SIMON, M.D.",0.492,0.215,NA,0.077,0.015,0.108,NA,0.015,0.046,NA,NA,0.015,0.015
"PHYSICS 1A - BELLAFARD, A.",0.222,0.289,NA,0.111,0.178,0.133,NA,NA,0.067,NA,NA,NA,NA
"PHYSICS 1B - CORBIN, B.",0.375,0.125,NA,0.167,0.208,0.083,0.042,NA,NA,NA,NA,NA,NA
"PHYSICS 1B - MILLS, E.A.",0.25,0.188,0.35,0.038,0.025,0.1,0.013,0.013,0.013,0.013,NA,NA,NA
"PHYSICS 1C - MENACHEKANIAN, E.",0.364,0.127,NA,0.273,0.036,0.091,0.036,0.036,0.018,0.018,NA,NA,NA
"PHYSICS 1C - ROMBES III, N.D.",0.356,0.178,0.244,0.067,NA,0.122,0.022,NA,0.011,NA,NA,NA,NA
"PHYSICS 4AL - NI, N.",0.293,0.021,0.679,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K.",0.46,0.345,0.08,0.053,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 5A - BAUER, D.J.",0.424,0.134,0.262,0.07,0.012,0.064,NA,0.006,0.023,NA,NA,0.006,NA
"PHYSICS 5A - TUNG, N.C.",0.864,0.057,NA,0.017,0.02,0.028,0.006,0.003,NA,NA,0.003,NA,0.003
"PHYSICS 5B - BAUER, D.J.",0.278,0.05,0.594,0.039,0.017,0.011,0.011,NA,NA,NA,NA,NA,NA
"PHYSICS 5B - PAU, J.T.",0.214,0.114,0.292,0.063,0.078,0.093,0.051,0.024,0.054,0.003,NA,0.009,0.003
"PHYSICS 5C - MILLS, E.A.",0.154,0.047,0.692,0.053,0.006,0.018,0.018,0.006,0.006,NA,NA,NA,NA
"PHYSICS 5C - WAUNG, R.T.",0.454,0.167,0.033,0.069,0.036,0.116,0.027,0.042,0.042,0.003,0.003,0.006,0.003
"POL SCI 10 - JOINES, J.A.",0.214,0.393,0.107,0.036,NA,0.107,0.036,NA,NA,NA,NA,NA,0.107
"POL SCI 119 - CUCHARO, S.J.",0.56,0.12,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,0.08
"POL SCI 119 - NORTON, A.D.",0.462,0.154,0.231,0.026,0.051,0.026,NA,NA,NA,NA,NA,NA,0.051
"POL SCI 122A - SHEVCHENKO, A.V.",0.157,0.129,NA,0.429,0.1,0.129,NA,0.014,0.014,0.014,NA,NA,0.014
"POL SCI 135 - SHEVCHENKO, A.V.",0.167,0.119,NA,0.286,0.155,0.19,0.036,0.012,0.024,0.012,NA,NA,NA
"POL SCI 140B - HANSON, E.G.",0.486,0.297,0.108,NA,0.027,0.027,NA,NA,NA,NA,NA,0.027,0.027
"POL SCI 149 - BALDWIN, E.A.",0.5,0.25,0.188,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 149 - HOLLIDAY, D.E.",0.333,0.095,0.286,0.095,NA,0.095,0.048,NA,0.048,NA,NA,NA,NA
"POL SCI 149 - LESLIE, G.J.",0.778,0.033,0.144,0.022,0.011,0.011,NA,NA,NA,NA,NA,NA,NA
"POL SCI 149 - RUSH, T.A.",0.364,0.182,0.273,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"POL SCI 149 - SLAUGHTER, C.M.",0.5,0.182,NA,0.068,0.023,0.068,0.023,0.023,0.068,NA,0.023,0.023,NA
"POL SCI 150 - SIMON, J.D.",0.306,0.278,0.065,0.12,0.009,0.194,0.009,NA,0.009,NA,NA,NA,0.009
"POL SCI 169 - HAMILTON, J.A.",0.389,0.278,0.278,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"POL SCI 169 - MARTINEZ ALVAREZ,",0.308,0.115,0.462,NA,0.019,0.038,NA,NA,0.019,NA,NA,NA,0.038
"POL SCI 186 - GUTIERREZ, A.E.",0.877,0.015,NA,0.031,0.015,NA,NA,0.015,NA,0.015,NA,NA,0.031
"POL SCI 186 - LEE, J.",0.533,0.173,NA,0.107,NA,0.16,NA,NA,0.013,NA,NA,NA,0.013
"POL SCI 195CE - BAWN, K.",0.857,0.071,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"POL SCI 20 - PERRY, J.B.",0.283,0.264,0.094,0.113,0.075,0.113,0.038,NA,NA,NA,NA,0.019,NA
