"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"COMM M147 - ROSSMAN, G.",0.52,0.04,0.2,0.04,0.12,0.08,NA,NA,NA,NA,NA,NA,NA
"COMM M165 - VON BLUM, P.",0.95,0.041,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 10A - CAI, H.",0.526,0.272,NA,0.044,0.026,0.096,NA,NA,0.026,0.009,NA,NA,NA
"COMPTNG 10A - LINDSTROM, M.R.",0.356,0.301,NA,0.041,0.014,0.164,0.027,0.014,NA,NA,NA,0.014,0.068
"COMPTNG 10A - PERLMUTTER, M.A.",0.771,0.072,NA,0.024,0.012,0.06,0.036,NA,0.024,NA,NA,NA,NA
"COMPTNG 10A - PHAM, M.H.",0.5,0.129,0.043,0.043,0.071,0.114,0.029,NA,0.043,NA,NA,NA,0.029
"COMPTNG 10B - CHU, W.",0.717,0.085,0.009,0.047,0.019,0.085,0.028,NA,NA,NA,NA,NA,0.009
"COMPTNG 10C - LINDSTROM, M.R.",0.25,0.667,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 16A - ANDREWS, M.J.",0.545,0.273,0.091,0.018,0.018,0.055,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 16A - CHODROW, P.S.",0.898,0.085,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 16A - JI, H.",0.852,0.016,0.049,0.033,NA,0.016,0.016,NA,NA,NA,0.016,NA,NA
"COMPTNG 20A - HYDE, D.",0.522,0.13,0.087,0.087,NA,0.087,0.043,NA,NA,NA,NA,0.043,NA
"COMPTNG 40A - ANDREWS, M.J.",0.588,0.088,0.059,0.029,NA,0.118,0.029,0.029,0.059,NA,NA,NA,NA
"DANCE 1 - AUGUSTE, C.",0.625,NA,0.25,NA,NA,0.062,NA,NA,NA,NA,NA,NA,0.062
"DANCE 11 - BLU WAKPA, T.",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 116 - WARBY, R.K.",0.706,NA,0.235,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA
"DANCE 117A - CARLSON, A.M.",0.444,0.389,0.056,NA,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"DANCE 117B - WARBY, R.K.",0.706,0.059,0.118,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 13 - FROOT, D.",0.667,0.056,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 15 - POPKIN, L.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 16 - ROUSSEVE, D.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 5 - EEN, R.W.",0.857,0.071,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 6 - WODOBODE, A.",0.923,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 67A - CARLSON, A.M.",0.462,0.154,0.154,0.077,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"DANCE 9 - FOAAD, L.R.",NA,NA,0.95,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"DANCE C106A - WODOBODE, A.",0.727,0.182,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"DANCE C113A - TOMITA, N.",0.533,0.2,0.2,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
"DANCE C115 - COAD, G.W.",0.632,0.158,0.158,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE C122 - EEN, R.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE C184 - HORWITZ, A.M.",0.7,NA,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 10 - HUHTAMO, E.I.",0.505,0.045,0.383,0.024,0.01,0.01,0.007,0.003,NA,NA,NA,NA,0.01
"DESMA 101 - HUHTAMO, E.I.",0.534,0.11,0.233,0.027,NA,0.068,0.014,NA,NA,NA,NA,NA,0.014
"DESMA 154 - ELLIOTT, B.A.",0.267,0.333,NA,0.067,0.2,0.133,NA,NA,NA,NA,NA,NA,NA
"DESMA 156 - GIL GOMEZ, J.",0.214,0.071,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143
"DESMA 156 - STEINKAMP, J.J.",0.267,0.133,0.533,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"DESMA 157 - STERN, E.I.",0.333,0.167,0.083,0.083,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"DESMA 160 - LUCAS, W.H.",0.529,0.176,0.059,NA,0.059,0.176,NA,NA,NA,NA,NA,NA,NA
"DESMA 161 - CUELLAR, C.I.",0.526,0.158,0.211,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"DESMA 171 - MITAL, P.K.",0.562,0.125,0.25,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"DESMA 172 - NOGUEZ, G.",0.444,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 173 - GALE, N.",0.273,0.091,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 21 - JIANG, Y.",0.65,0.15,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 22 - MCWILLIAMS, C.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 25 - ELLIOTT, B.A.",0.312,0.25,NA,0.125,0.062,0.125,0.062,NA,0.062,NA,NA,NA,NA
"DESMA 25 - TRIGO, C.N.",0.467,0.2,0.2,0.067,NA,NA,NA,NA,0.067,NA,NA,NA,NA
"DESMA 28 - REAS, C.",0.444,0.111,0.389,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"DESMA 289 - WILLIS, H.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 101 - SANDERS, A.",0.915,NA,0.068,NA,0.009,0.009,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 150 - CHO, S.",0.682,0.045,0.045,NA,0.045,0.136,NA,0.045,NA,NA,NA,NA,NA
"DGT HUM 150 - KURTZ, W.",0.95,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA
"DIS STD 101W - SOLONE, C.J.",0.418,0.209,0.239,0.052,0.03,0.03,0.022,NA,NA,NA,NA,NA,NA
"DIS STD 195CE - MARKS, V.E.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M139 - DEMER, L.L.",0.545,0.045,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M183 - GIBBONS, S.L.",0.556,NA,0.333,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"DUTCH 103A - BRIER, M.F.",0.118,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 100 - RAZAVI, B.",0.22,0.193,0.28,0.027,0.06,0.12,0.02,0.02,0.02,0.013,0.007,0.02,NA
"EC ENGR 101A - EMAMINEJAD, S.",0.167,0.194,0.037,0.139,0.083,0.269,0.046,NA,0.046,NA,0.019,NA,NA
"EC ENGR 102 - KAO, J.C.",0.304,0.143,0.081,0.093,0.093,0.174,0.006,0.012,0.05,0.012,NA,0.019,0.012
"EC ENGR 10H - DARABI, H.",0.231,0.128,0.205,0.154,0.051,0.154,NA,NA,0.051,NA,NA,0.026,NA
"EC ENGR 110L - MESGHALI, F.",0.216,0.294,0.078,0.196,NA,0.196,NA,NA,0.02,NA,NA,NA,NA
"EC ENGR 112 - CASTANEDA, J.J.",0.31,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 113 - ALWAN, A.A.",0.35,0.15,0.05,0.2,0.05,0.2,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 113 - CABRIC, D.",0.224,0.155,0.086,0.121,0.121,0.172,0.052,0.017,0.034,NA,NA,0.017,NA
"EC ENGR 114 - LORENZELLI, F.",0.413,0.28,NA,0.04,0.027,0.16,NA,NA,0.04,NA,NA,0.013,0.027
"EC ENGR 115A - CHANG, M.F.",0.326,0.209,0.07,0.163,0.116,0.07,0.023,NA,0.023,NA,NA,NA,NA
"EC ENGR 11L - DARABI, H.",0.538,0.128,0.256,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 121B - IYER, S.S.",0.2,0.143,0.029,0.114,0.143,0.143,0.057,0.029,0.057,0.029,NA,NA,0.057
"EC ENGR 123A - AIELLO, C.D.",0.909,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 131A - DOLECEK, L.",0.233,0.067,0.1,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 131A - WESEL, R.D.",0.628,0.128,0.081,0.047,0.035,0.047,NA,0.012,0.012,NA,NA,NA,0.012
"EC ENGR 132B - RUBIN, I.",0.452,0.048,0.177,0.081,0.065,0.129,0.016,0.016,NA,NA,NA,NA,0.016
"EC ENGR 163A - BABAKHANI, A.",0.435,0.13,0.174,0.043,0.043,0.174,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 170A - JALALI, B.",0.219,0.375,0.25,0.031,0.031,0.062,NA,NA,0.031,NA,NA,NA,NA
"EC ENGR 189 - KAO, J.C.",0.84,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 194 - OZCAN, A.",0.947,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 2 - SOKOLICH, M.",0.514,0.139,0.028,0.139,0.069,0.097,0.014,NA,NA,NA,NA,NA,NA
"EC ENGR 205A - RAJATI, M.",0.484,0.125,0.156,0.078,0.031,0.109,NA,NA,0.016,NA,NA,NA,NA
"EC ENGR 209AS - CHEN, X.",0.25,0.25,0.125,0.042,NA,0.292,NA,NA,NA,NA,0.042,NA,NA
"EC ENGR 209AS - MEHTA, A.M.",0.324,0.378,0.162,NA,NA,0.135,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 212A - PAMARTI, S.",0.316,0.211,0.211,0.158,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215A - ABIDI, A.A.",0.118,0.176,NA,0.176,0.059,0.412,NA,NA,0.059,NA,NA,NA,NA
"EC ENGR 223 - SOKOLICH, M.",0.65,0.25,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 230A - YAO, K.",0.08,0.2,NA,0.2,0.04,0.48,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 236A - FRAGOULI, C.P.",0.293,0.333,0.013,0.16,0.04,0.16,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 239AS - KADAMBI, A.",0.667,0.167,0.121,NA,0.015,0.015,NA,NA,NA,NA,NA,NA,0.015
"EC ENGR 239AS - TABUADA, P.",NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"EC ENGR 241A - YANG, L.",0.081,0.243,0.108,0.135,0.108,0.162,0.081,0.054,NA,NA,NA,NA,0.027
"EC ENGR 260A - RAHMAT-SAMII, Y.",0.308,0.231,NA,0.231,0.077,0.154,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 270 - WILLIAMS, B.S.",0.444,0.389,NA,0.056,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 279AS - WANG, Y.",0.542,0.208,0.125,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 3 - BRIGGS, D.M.",0.477,0.177,0.231,0.038,0.008,0.069,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M116C - GUPTA, P.",0.4,0.109,0.055,0.073,0.127,0.073,0.036,0.036,0.073,0.018,NA,NA,NA
"EC ENGR M202A - SRIVASTAVA, M.B.",0.295,0.318,0.023,0.182,0.045,0.114,NA,NA,0.023,NA,NA,NA,NA
"EC ENGR M216A - MARKOVIC, D.",0.167,0.273,0.015,0.121,0.227,0.152,NA,NA,0.045,NA,NA,NA,NA
"ECON 1 - MCDEVITT, E.P.",0.304,0.208,0.132,0.084,0.028,0.144,0.016,0.016,0.036,0.008,0.004,0.004,0.016
"ECON 101 - MCDEVITT, E.P.",0.17,0.131,0.029,0.078,0.049,0.199,0.183,0.029,0.023,0.023,NA,0.065,0.02
"ECON 102 - GEEROLF, F.",0.105,0.101,0.054,0.166,0.105,0.09,0.079,0.072,0.097,0.029,0.011,0.058,0.032
"ECON 103 - MCDEVITT, E.P.",0.108,0.124,0.079,0.137,0.13,0.143,0.102,0.073,0.089,NA,NA,NA,0.016
"ECON 103L - SANTOS, A.",0.108,0.124,0.079,0.137,0.13,0.143,0.102,0.073,0.089,NA,NA,NA,0.016
"ECON 106F - CONVERY, P.D.",0.352,0.225,0.106,0.092,0.042,0.141,0.014,0.007,0.021,NA,NA,NA,NA
"ECON 106FB - CONVERY, P.D.",0.352,0.225,0.106,0.092,0.042,0.141,0.014,0.007,0.021,NA,NA,NA,NA
"ECON 106M - MCDEVITT, E.P.",0.245,0.184,0.02,0.327,0.041,0.102,0.061,NA,NA,NA,NA,0.02,NA
"ECON 106ML - WILLIAMS, T.J.",0.245,0.184,0.02,0.327,0.041,0.102,0.061,NA,NA,NA,NA,0.02,NA
"ECON 106P - MCDEVITT, E.P.",0.151,0.117,0.146,0.156,0.117,0.093,0.049,0.005,0.156,0.005,NA,NA,0.005
"ECON 106PL - MCDEVITT, E.P.",0.152,0.118,0.147,0.157,0.113,0.093,0.049,0.005,0.157,0.005,NA,NA,0.005
"ECON 11 - MAZZOCCO, M.",0.25,0.023,0.077,0.27,0.034,0.071,0.128,0.048,0.057,0.014,NA,0.006,0.023
"ECON 11 - MCDEVITT, E.P.",0.17,0.099,0.031,0.148,0.135,0.112,0.121,0.058,0.076,0.013,0.004,0.009,0.022
"ECON 111 - MCDEVITT, E.P.",0.372,0.182,0.124,0.14,0.025,0.149,NA,NA,0.008,NA,NA,NA,NA
"ECON 123 - MCDEVITT, E.P.",0.255,0.106,0.447,0.021,0.021,0.128,0.021,NA,NA,NA,NA,NA,NA
"ECON 123L - TORNELL, A.",0.255,0.106,0.447,0.021,0.021,0.128,0.021,NA,NA,NA,NA,NA,NA
"ECON 130 - LLERAS-MUNEY, A.",0.442,0.173,0.25,0.029,NA,0.067,NA,0.01,NA,NA,NA,NA,0.029
"ECON 130L - LLERAS-MUNEY, A.",0.442,0.173,0.25,0.029,NA,0.067,NA,0.01,NA,NA,NA,NA,0.029
"ECON 134 - MCDEVITT, E.P.",0.471,0.196,0.043,0.109,0.051,0.094,0.029,NA,0.007,NA,NA,NA,NA
"ECON 137 - MCDEVITT, E.P.",0.295,0.173,0.194,0.137,0.036,0.137,NA,NA,0.029,NA,NA,NA,NA
"ECON 143 - MATZKIN, R.L.",0.343,0.257,0.114,0.086,0.029,0.171,NA,NA,NA,NA,NA,NA,NA
"ECON 165 - MCDEVITT, E.P.",0.659,0.111,0.207,0.007,NA,0.007,0.007,NA,NA,NA,NA,NA,NA
"ECON 167 - ATKESON, A.G.",0.825,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 168 - MCDEVITT, E.P.",0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 170 - ASKER, J.W.",0.484,NA,0.044,0.143,0.033,0.187,0.044,NA,0.044,0.011,NA,NA,0.011
"ECON 170L - ASKER, J.W.",0.478,NA,0.043,0.141,0.033,0.185,0.043,NA,0.043,0.011,0.011,NA,0.011
"ECON 171 - HOPENHAYN, H.A.",0.091,0.182,0.182,NA,0.273,NA,NA,0.091,0.091,0.091,NA,NA,NA
"ECON 2 - MCDEVITT, E.P.",0.282,0.171,0.166,0.133,0.061,0.116,0.017,0.011,0.022,0.006,NA,0.006,0.011
"ECON 201A - OBARA, I.",0.276,0.345,0.103,0.138,NA,0.138,NA,NA,NA,NA,NA,NA,NA
"ECON 202A - HANSEN, G.D.",0.286,0.19,0.048,0.238,0.048,0.19,NA,NA,NA,NA,NA,NA,NA
"ECON 203A - HAHN, J.",0.5,0.278,NA,0.111,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ECON 241 - GIORCELLI, M.",0.692,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 261A - MAZZOCCO, M.",0.333,0.267,NA,0.2,0.133,0.067,NA,NA,NA,NA,NA,NA,NA
"ECON 262P - LLERAS-MUNEY, A.",0.462,0.308,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 271A - ASKER, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 401A - MEYER-TER-VEHN, M.",0.241,0.345,0.069,0.034,NA,0.31,NA,NA,NA,NA,NA,NA,NA
"ECON 402A - OHANIAN, L.",0.535,0.141,0.211,NA,NA,0.113,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - HAHN, J.",0.118,0.108,0.027,0.167,0.113,0.124,0.027,0.075,0.102,0.022,0.016,0.043,0.059
"ECON 410 - TORNELL, A.",0.898,0.08,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 430 - ROJAS, R.R.",0.197,0.237,0.139,0.156,0.058,0.191,0.006,NA,0.017,NA,NA,NA,NA
"ECON 431 - CONVERY, P.D.",0.388,0.287,0.067,0.107,0.028,0.124,NA,NA,NA,NA,NA,NA,NA
"ECON 441A - BORGHESE, S.R.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 442A - BORGHESE, S.R.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - MAZZOCCO, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON M188 - ATKESON, A.G.",0.958,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 10 - MANCEVICE, N.A.",0.421,0.074,0.463,0.017,0.008,0.017,NA,NA,NA,NA,NA,NA,NA
"EDUC 120 - BLACKSTOCK-BERNSTE",0.214,0.262,0.214,0.048,0.071,0.19,NA,NA,NA,NA,NA,NA,NA
"EDUC 129 - PURDY, W.C.",0.926,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 138 - GRAMMER, J.K.",0.389,0.157,0.259,0.102,NA,0.074,0.009,NA,NA,NA,NA,NA,0.009
"EDUC 150 - MARKOWITZ, A.J.",0.429,0.381,0.095,0.048,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"EDUC 152A - DESJARDINS, R.",0.237,0.368,0.132,0.079,0.026,0.132,NA,NA,NA,NA,NA,0.026,NA
"EDUC 180 - DORIO, J.",0.029,NA,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - DENG, M.C.",0.417,0.125,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - DORIO, J.",NA,0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - SHARE, J.",0.768,0.036,0.161,0.018,NA,0.018,NA,NA,NA,NA,NA,NA,NA
"EDUC 191B - HARRISON, O.C.",0.133,0.133,0.267,0.133,NA,0.2,0.067,0.067,NA,NA,NA,NA,NA
"EDUC 196D - BANG, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196D - SHEN, C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204B - OMWAMI, E.S.",0.625,0.062,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - GARCIA SANCHEZ, I.",0.737,NA,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - MCCARTY, T.L.",0.955,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 225A - KASARI, C.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - HANSEN, M.P.",0.955,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - WEBB, N.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 249 - GRAMMER, J.K.",0.875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - HURTADO, S.",0.929,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - MCDONOUGH, P.M.",0.692,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 255C - SELTZER, M.H.",0.474,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 261F - HARRIS, J.C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 263 - JAQUETTE, O.",0.96,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 272 - KRATZER, C.C.",0.759,NA,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 275 - HOWARD, T.C.",0.625,NA,0.333,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296J - MARTINEZ-FERNANDEZ",0.458,0.25,0.083,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - EAGAN, K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - GRAHAM, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315 - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 319 - ARIAS, M.S.",0.971,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - ALBER, R.L.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - BETZELBERGER, J.L.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - PEREZ, E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 35 - MARTINEZ-FERNANDEZ",0.58,0.068,0.33,NA,0.011,0.011,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ALBER, R.L.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ARIAS, M.S.",0.941,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - LEE, D.O.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - PARK, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - RAFI, F.H.",0.812,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - KIM, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - HOWARD, T.C.",0.821,NA,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - SANTIBANEZ, L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406B - GUILLEN, L.I.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - DARBY, J.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - FRANKE, M.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - ORELLANA, M.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - SANDOVAL, W.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 411 - FLORES, C.A.",0.939,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413A - NAVARRO, B.A.",0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - RAFI, F.H.",0.971,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 448B - GARCIA, L.W.",0.857,0.029,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 451 - COOPER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 452A - MCDONOUGH, P.M.",0.724,0.034,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 455 - DURKIN, D.",0.741,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458A - DURKIN, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 473 - DONALDSON, K.E.",0.375,0.031,0.062,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 476 - MECHIKOFF, R.A.",0.364,0.364,NA,0.045,0.045,NA,0.045,0.091,0.045,NA,NA,NA,NA
"EDUC 490A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - KUSHON, S.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - KUSHON, S.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - LONON, E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - PELIKHOVA, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - WILSON, C.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 499A - APIGO, M.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC C124 - CHANG, M.J.",0.438,0.219,NA,0.031,0.062,0.156,0.031,NA,NA,NA,NA,0.031,0.031
"EDUC C209A - COLE, E.R.",0.875,0.083,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M102 - GARCIA, D.G.",0.4,0.314,NA,0.057,0.143,0.029,0.029,NA,NA,NA,NA,NA,0.029
"EE BIOL 100 - BLUMSTEIN, D.T.",0.342,0.243,0.076,0.125,0.026,0.151,0.016,NA,0.016,NA,NA,NA,0.003
"EE BIOL 100L - BLUMSTEIN, D.T.",0.738,0.121,0.112,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109 - KANE, T.L.",0.759,0.078,0.093,0.019,NA,0.035,0.008,NA,NA,0.008,NA,NA,NA
"EE BIOL 109L - FONG, C.R.",0.493,0.183,NA,0.113,0.028,0.141,0.042,NA,NA,NA,NA,NA,NA
"EE BIOL 111 - GORLITSKY, L.E.",0.392,0.149,0.243,0.122,0.014,0.027,0.027,0.014,0.014,NA,NA,NA,NA
