class,difference,department,Class_Cap
"EDUC 10 - MANCEVICE, N.A.",0.017720779,,"EDUC 10 - MANCEVICE, N.A."
"EDUC 413A - 0VARRO, B.A.",0.0177,,"EDUC 413A - 0VARRO, B.A."
"MIMG 105 - BENTOLILA, L.",0.017112887,,"MIMG 105 - BENTOLILA, L."
"MGMTEX 439 - MCCANN, R.M.",0.016499416,,"MGMTEX 439 - MCCANN, R.M."
"MGMTMFE 403 - PA0GEAS, S.",0.016383616,,"MGMTMFE 403 - PA0GEAS, S."
"FILIPNO 1 - DOMINGO, N.P.",0.0162,,"FILIPNO 1 - DOMINGO, N.P."
"PSYCH 20A - MANSOLF, M.A.",0.016052016,,"PSYCH 20A - MANSOLF, M.A."
"MGMTFE 420 - KAO, J.L.",0.015934066,,"MGMTFE 420 - KAO, J.L."
"LIFESCI 192D - SHAKED, S.",0.0159,,"LIFESCI 192D - SHAKED, S."
"EPIDEM 232 - GORBACH, P.M.",0.0158,,"EPIDEM 232 - GORBACH, P.M."
"CH ENGR 10 - TANG, Y.",0.015774474,,"CH ENGR 10 - TANG, Y."
"CHICANO 113 - RAMIREZ-OROPEZA, M",0.015,,"CHICANO 113 - RAMIREZ-OROPEZA, M"
"STATS 402 - ESFANDIARI, M.M.",0.015,,"STATS 402 - ESFANDIARI, M.M."
"DANCE 16 - ROUSSEVE, D.J.",0.015,,"DANCE 16 - ROUSSEVE, D.J."
"KOREA 102A - CHOI, J.B.",0.015,,"KOREA 102A - CHOI, J.B."
"MUSC 20A - OBA, H.M.",0.013841159,,"MUSC 20A - OBA, H.M."
"PSYCH 401 - YEE-BRADBURY, C.M.",0.0135,,"PSYCH 401 - YEE-BRADBURY, C.M."
"EDUC 455 - DURKIN, D.",0.0126,,"EDUC 455 - DURKIN, D."
"PUB PLC 291A - PANOFSKY, A.L.",0.0124,,"PUB PLC 291A - PANOFSKY, A.L."
"FILM TV 33 - VOORHEES, L.",0.011791009,,"FILM TV 33 - VOORHEES, L."
"SOC WLF 195 - FRANKE, T.M.",0.0117,,"SOC WLF 195 - FRANKE, T.M."
"LAW 145 - MARCUS, D.W.",0.0117,,"LAW 145 - MARCUS, D.W."
"PHYSICS 4BL - ARISAKA, K.",0.011695112,,"PHYSICS 4BL - ARISAKA, K."
"CHEM 154 - 0KAMOTO, S.S.",0.010821643,,"CHEM 154 - 0KAMOTO, S.S."
"THEATER 126A - OLIVIERI, J.M.",0.0102,,"THEATER 126A - OLIVIERI, J.M."
"HIST 179A - ZELENY, C.L.",0.0102,,"HIST 179A - ZELENY, C.L."
"PHYSICS 220 - PUTTERMAN, S.J.",0.009374326,,"PHYSICS 220 - PUTTERMAN, S.J."
"HIST 113A - PHILLIPS, D.D.",0.009052571,,"HIST 113A - PHILLIPS, D.D."
"HLT POL 286 - COWGILL, B.O.",0.009,,"HLT POL 286 - COWGILL, B.O."
"MGMTFE 401 - WHITSON, J.A.",0.008555556,,"MGMTFE 401 - WHITSON, J.A."
"EC ENGR 131A - DOLECEK, L.",0.008361538,,"EC ENGR 131A - DOLECEK, L."
"ENGCOMP 3D - MATTENSON, L.M.",0.007746108,,"ENGCOMP 3D - MATTENSON, L.M."
"MECH&AE 296B - GHONIEM, N.M.",0.006945407,,"MECH&AE 296B - GHONIEM, N.M."
"EDUC 263 - JAQUETTE, O.",0.0066,,"EDUC 263 - JAQUETTE, O."
"SCAND 141C - WEN, P.J.",0.0066,,"SCAND 141C - WEN, P.J."
"NURSING 152B - CARPENTER, C.L.",0.006402503,,"NURSING 152B - CARPENTER, C.L."
"HLT POL 200A - COWGILL, B.O.",0.0063,,"HLT POL 200A - COWGILL, B.O."
"SOCIOL 1 - COLLETT, J.L.",0.005938906,,"SOCIOL 1 - COLLETT, J.L."
"MGMT 120B - LU, M.",0.00590479,,"MGMT 120B - LU, M."
"EC ENGR 110L - MESGHALI, F.",0.005861261,,"EC ENGR 110L - MESGHALI, F."
"GREEK 8A - ZENIOS, S.",0.0054,,"GREEK 8A - ZENIOS, S."
"MCD BIO 104AL - LEE, P.",0.005121722,,"MCD BIO 104AL - LEE, P."
"COMM 103A - MILLER, T.E.",0.005,,"COMM 103A - MILLER, T.E."
"ENGL 137 - TORRES, J.J.",0.0045,,"ENGL 137 - TORRES, J.J."
"MGMT 295A - WALSKE, J.M.",0.004395604,,"MGMT 295A - WALSKE, J.M."
"MSC IND 115 - MOSELEY, A.M.",0.0039,,"MSC IND 115 - MOSELEY, A.M."
"LIFESCI 192D - SHEVTSOV, J.",0.0036,,"LIFESCI 192D - SHEVTSOV, J."
"AF AMER 188A - DUE, T.P.",0.003569269,,"AF AMER 188A - DUE, T.P."
"MGMT 285B - ULLMEN, J.B.",0.003419219,,"MGMT 285B - ULLMEN, J.B."
"HIST 3A - ALEXANDER, A.",0.003258759,,"HIST 3A - ALEXANDER, A."
"MGMT 266A - TERECH, A.",0.002402402,,"MGMT 266A - TERECH, A."
"ENGCOMP 3 - STEINBERG, S.K.",0.00213976,,"ENGCOMP 3 - STEINBERG, S.K."
"MECH&AE C150P - SPEARRIN, R.M.",0.001101101,,"MECH&AE C150P - SPEARRIN, R.M."
"MECH&AE 94 - GAO, E.X.",0.0009,,"MECH&AE 94 - GAO, E.X."
"PSYCH 131 - GOFF, B.S.",0.00062008,,"PSYCH 131 - GOFF, B.S."
"SOC WLF 211A - BRINDERSON, L.A.",0.0006,,"SOC WLF 211A - BRINDERSON, L.A."
"EE BIOL 116 - LIPMAN, A.J.",0.0003,,"EE BIOL 116 - LIPMAN, A.J."
"PSYCH 186D - MONTI, M.M.",0.0003,,"PSYCH 186D - MONTI, M.M."
"MUSC C175D - DIMOND, T.A.",0,,"MUSC C175D - DIMOND, T.A."
"FILM TV 288A - FRANKLIN, A.S.",0,,"FILM TV 288A - FRANKLIN, A.S."
"FILM TV 453 - HALL, C.",0,,"FILM TV 453 - HALL, C."
"ETHNMUS 161B - WENTEN, I.N.",0,,"ETHNMUS 161B - WENTEN, I.N."
"ETHNMUS 161M - ADLER, S.I.",0,,"ETHNMUS 161M - ADLER, S.I."
"FILM TV 1A - MCDO0LD, W.C.",0,,"FILM TV 1A - MCDO0LD, W.C."
"FILM TV 435 - GARY, G.E.",0,,"FILM TV 435 - GARY, G.E."
"MUSC 110A - HEUSER, F.",0,,"MUSC 110A - HEUSER, F."
"FILM TV 155 - BARMINSKI, W.J.",0,,"FILM TV 155 - BARMINSKI, W.J."
"FILM TV 102A - ANDERSON, S.F.",0,,"FILM TV 102A - ANDERSON, S.F."
"MIMG 262A - BO0VIDA, B.",0,,"MIMG 262A - BO0VIDA, B."
"FILM TV 433 - SMITH, B.J.",0,,"FILM TV 433 - SMITH, B.J."
"MIMG 180B - BENSINGER, S.J.",0,,"MIMG 180B - BENSINGER, S.J."
"MUSC C175E - AN, J.Y.",0,,"MUSC C175E - AN, J.Y."
"FILM TV 410C - GOOD, T.A.",0,,"FILM TV 410C - GOOD, T.A."
"MUSC 185H - MCKEOWN, K.O.",0,,"MUSC 185H - MCKEOWN, K.O."
"ETHNMUS 91B - WENTEN, I.N.",0,,"ETHNMUS 91B - WENTEN, I.N."
"MUSC C175A - LINDEMANN, J.H.",0,,"MUSC C175A - LINDEMANN, J.H."
"MUSC C185G - CROSS, T.J.",0,,"MUSC C185G - CROSS, T.J."
"NURSING 212 - CHOI, S.E.",0,,"NURSING 212 - CHOI, S.E."
"MUSC M90T - WINKLE, M.D.",0,,"MUSC M90T - WINKLE, M.D."
"COM HLT 440 - STRATTON, S.J.",0,,"COM HLT 440 - STRATTON, S.J."
"ECON 241 - GIORCELLI, M.",0,,"ECON 241 - GIORCELLI, M."
"EDUC 230A - WEBB, N.M.",0,,"EDUC 230A - WEBB, N.M."
"EDUC 261F - HARRIS, J.C.",0,,"EDUC 261F - HARRIS, J.C."
"EDUC 315 - KERSEY, S.E.",0,,"EDUC 315 - KERSEY, S.E."
"EDUC 320A - PEREZ, E.",0,,"EDUC 320A - PEREZ, E."
"EC ENGR 194 - OZCAN, A.",0,,"EC ENGR 194 - OZCAN, A."
"EC ENGR 189 - KAO, J.C.",0,,"EC ENGR 189 - KAO, J.C."
"EDUC 406 - LOPEZ, E.F.",0,,"EDUC 406 - LOPEZ, E.F."
"EDUC 407 - DARBY, J.T.",0,,"EDUC 407 - DARBY, J.T."
"EDUC 407 - ORELLA0, M.E.",0,,"EDUC 407 - ORELLA0, M.E."
"PHYSCI 194A - MCEVOY, M.M.",0,,"PHYSCI 194A - MCEVOY, M.M."
"PHYSCI 194A - HASSON, T.W.",0,,"PHYSCI 194A - HASSON, T.W."
"EDUC 451 - COOPER, R.",0,,"EDUC 451 - COOPER, R."
"EDUC 458A - DURKIN, D.",0,,"EDUC 458A - DURKIN, D."
"EDUC 490A - GREEN, R.E.",0,,"EDUC 490A - GREEN, R.E."
"EDUC 490A - KERSEY, S.E.",0,,"EDUC 490A - KERSEY, S.E."
"EDUC 490A - LOPEZ, E.F.",0,,"EDUC 490A - LOPEZ, E.F."
"EDUC 498A - GREEN, R.E.",0,,"EDUC 498A - GREEN, R.E."
"EDUC 498A - KERSEY, S.E.",0,,"EDUC 498A - KERSEY, S.E."
"EDUC 498A - LOPEZ, E.F.",0,,"EDUC 498A - LOPEZ, E.F."
"EE BIOL 232 - AMARASEKARE, P.A.",0,,"EE BIOL 232 - AMARASEKARE, P.A."
"DESMA 289 - WILLIS, H.L.",0,,"DESMA 289 - WILLIS, H.L."
"DANCE 11 - BLU WAKPA, T.",0,,"DANCE 11 - BLU WAKPA, T."
"COM SCI 239 - REINMAN, G.D.",0,,"COM SCI 239 - REINMAN, G.D."
"NEUROSC M170 - TRAMO, M.J.",0,,"NEUROSC M170 - TRAMO, M.J."
"FILM TV 484A - VILPPU, G.V.",0,,"FILM TV 484A - VILPPU, G.V."
"ECON 89 - MAZZOCCO, M.",0,,"ECON 89 - MAZZOCCO, M."
"HLT POL M236 - LU, Z.J.",0,,"HLT POL M236 - LU, Z.J."
"BIOINFO 201 - LI, J.",0,,"BIOINFO 201 - LI, J."
"HNRS 119 - FRANKLIN, A.S.",0,,"HNRS 119 - FRANKLIN, A.S."
"LAW 536 - STARK, K.J.",0,,"LAW 536 - STARK, K.J."
"ASTR 284 - HANSEN, B.M.",0,,"ASTR 284 - HANSEN, B.M."
"URBN PL 205A - OSMAN, T.",0,,"URBN PL 205A - OSMAN, T."
"ANTHRO 197 - ACABADO, S.B.",0,,"ANTHRO 197 - ACABADO, S.B."
"ASIA AM C142A - CHEN, J.T.",0,,"ASIA AM C142A - CHEN, J.T."
"ANTHRO 200 - BARRETT, H.C.",0,,"ANTHRO 200 - BARRETT, H.C."
"ARMENIA 104A - MARTIROSYAN, H.K.",0,,"ARMENIA 104A - MARTIROSYAN, H.K."
"ART 133 - OLSON, A.K.",0,,"ART 133 - OLSON, A.K."
"THAI 1 - GASIGITAMRONG, J.",0,,"THAI 1 - GASIGITAMRONG, J."
"ART 279 - KRUGER, B.",0,,"ART 279 - KRUGER, B."
"STATS 140SL - LEW, V.",0,,"STATS 140SL - LEW, V."
"MGMT 293C - COCKRUM, W.M.",0,,"MGMT 293C - COCKRUM, W.M."
"ART 275 - JUGDEO, V.",0,,"ART 275 - JUGDEO, V."
"MGMTMSA 412 - ZEITHAMMER, R.",0,,"MGMTMSA 412 - ZEITHAMMER, R."
"ART 147 - WOODS, S.A.",0,,"ART 147 - WOODS, S.A."
"IRANIAN 103A - INGENITO, D.",0,,"IRANIAN 103A - INGENITO, D."
"STATS 596 - ZHU, S.",0,,"STATS 596 - ZHU, S."
"ART 274 - VALENZUELA, R.A.",0,,"ART 274 - VALENZUELA, R.A."
"ART 271 - OTTO-K0PP, S.",0,,"ART 271 - OTTO-K0PP, S."
"STATS 596 - WU, Y.",0,,"STATS 596 - WU, Y."
"BIOINFO 202 - XIAO, X.",0,,"BIOINFO 202 - XIAO, X."
"LIFESCI 192B - SHAKED, S.",0,,"LIFESCI 192B - SHAKED, S."
"MATH 206A - PAK, I.",0,,"MATH 206A - PAK, I."
"FILM TV 498 - LIEBING, H.",0,,"FILM TV 498 - LIEBING, H."
"CHEM 247 - GARG, N.K.",0,,"CHEM 247 - GARG, N.K."
"FILM TV C481B - SHEETZ, C.E.",0,,"FILM TV C481B - SHEETZ, C.E."
"GENDER 201 - MARCHANT, E.A.",0,,"GENDER 201 - MARCHANT, E.A."
"AERO ST 1A - LISCOMBE, J.R.",0,,"AERO ST 1A - LISCOMBE, J.R."
"GEOG 200A - SHEPPARD, E.S.",0,,"GEOG 200A - SHEPPARD, E.S."
"SOCIOL 198A - BEREND, Z.",0,,"SOCIOL 198A - BEREND, Z."
"AERO ST 20A - LISCOMBE, J.R.",0,,"AERO ST 20A - LISCOMBE, J.R."
"CESC 195CE - BARRERA, D.S.",0,,"CESC 195CE - BARRERA, D.S."
"VIETMSE 100A - BUI, C.V.",0,,"VIETMSE 100A - BUI, C.V."
"C&EE 194 - BAUCHY, M.",0,,"C&EE 194 - BAUCHY, M."
"GJ STDS 176D - O'FARRILL, A.",0,,"GJ STDS 176D - O'FARRILL, A."
"LIFESCI 192D - PFLUEGL, G.M.",0,,"LIFESCI 192D - PFLUEGL, G.M."
"BMD RES 5HB - CLARK, I.E.",0,,"BMD RES 5HB - CLARK, I.E."
"LIFESCI 192C - PIRES, D.B.",0,,"LIFESCI 192C - PIRES, D.B."
"BMD RES 193H - CLARK, I.E.",0,,"BMD RES 193H - CLARK, I.E."
"BIOSTAT 273 - RAMIREZ, C.M.",0,,"BIOSTAT 273 - RAMIREZ, C.M."
"MGMTEX 402 - MAMANI, H.",-0.000114985,,"MGMTEX 402 - MAMANI, H."
"LAW 272 - STEINBERG, R.H.",-0.0003998,,"LAW 272 - STEINBERG, R.H."
"DGT HUM 101 - SANDERS, A.",-0.000999001,,"DGT HUM 101 - SANDERS, A."
"CHEM 30CL - REILLY, A.J.",-0.001386214,,"CHEM 30CL - REILLY, A.J."
"SOC WLF 231F - RAMIREZ, G.U.",-0.0015,,"SOC WLF 231F - RAMIREZ, G.U."
"PUB AFF 116 - ARMENTA, A.",-0.001503006,,"PUB AFF 116 - ARMENTA, A."
"MECH&AE C237 - GADH, R.",-0.00245847,,"MECH&AE C237 - GADH, R."
"IRANIAN 1A - POURZANGI, B.",-0.002569169,,"IRANIAN 1A - POURZANGI, B."
"NURSING 405 - BROWN-SALTZMAN, K.",-0.0028,,"NURSING 405 - BROWN-SALTZMAN, K."
"KOREA 1A - JU, H.",-0.003403904,,"KOREA 1A - JU, H."
"NURSING 239C - LAZAR, J.",-0.0045,,"NURSING 239C - LAZAR, J."
"COM SCI 131 - EGGERT, P.R.",-0.0049,,"COM SCI 131 - EGGERT, P.R."
"SCAND 40W - BALL, K.A.",-0.005012133,,"SCAND 40W - BALL, K.A."
"LAW 266 - GOMEZ, L.E.",-0.005217305,,"LAW 266 - GOMEZ, L.E."
"CLUSTER 60A - DECKER, J.L.",-0.005646054,,"CLUSTER 60A - DECKER, J.L."
"COM HLT 288 - GLIK, D.C.",-0.00578002,,"COM HLT 288 - GLIK, D.C."
"ECON 102 - GEEROLF, F.",-0.006280706,,"ECON 102 - GEEROLF, F."
"MAT SCI 160 - BESCHER, E.P.",-0.006933333,,"MAT SCI 160 - BESCHER, E.P."
"FILM TV 292B - LEVY, R.J.",-0.0084,,"FILM TV 292B - LEVY, R.J."
"SPAN 135 - RODRIGUEZ, J.N.",-0.008691309,,"SPAN 135 - RODRIGUEZ, J.N."
"URBN PL 218B - EPLEY, E.E.",-0.009309309,,"URBN PL 218B - EPLEY, E.E."
"CHIN 4 - SHEN, Y.",-0.010131768,,"CHIN 4 - SHEN, Y."
"EDUC 452A - MCDONOUGH, P.M.",-0.01021021,,"EDUC 452A - MCDONOUGH, P.M."
"ARTS ED 101 - CAMERON, D.P.",-0.01031031,,"ARTS ED 101 - CAMERON, D.P."
"ENGCOMP 2 - CROSBY, S.",-0.010889111,,"ENGCOMP 2 - CROSBY, S."
"ECON 410 - TORNELL, A.",-0.011076024,,"ECON 410 - TORNELL, A."
"LAW 446 - ABE, G.J.",-0.011538462,,"LAW 446 - ABE, G.J."
"MGMT 231E - COCKRUM, W.M.",-0.012,,"MGMT 231E - COCKRUM, W.M."
"COM SCI 192 - SHAKED, S.",-0.0126,,"COM SCI 192 - SHAKED, S."
"ASTR 5 - TREU, T.L.",-0.012914595,,"ASTR 5 - TREU, T.L."
"MGMT 163 - ROSTAMIAN, F.D.",-0.013239555,,"MGMT 163 - ROSTAMIAN, F.D."
"URBN PL 280 - LING, J.C.",-0.0144,,"URBN PL 280 - LING, J.C."
"MGMT 275 - MONTGOMERY, M.J.",-0.015279279,,"MGMT 275 - MONTGOMERY, M.J."
"LIFESCI 192D - PIRES, D.B.",-0.0159,,"LIFESCI 192D - PIRES, D.B."
"FILM TV 270 - FARBER, S.E.",-0.016,,"FILM TV 270 - FARBER, S.E."
"LIFESCI 192B - PIRES, D.B.",-0.0168,,"LIFESCI 192B - PIRES, D.B."
"C&EE 153 - MOHANTY, S.K.",-0.016822877,,"C&EE 153 - MOHANTY, S.K."
"SOCIOL 191V - WALDINGER, R.",-0.016829817,,"SOCIOL 191V - WALDINGER, R."
"ECON 130L - LLERAS-MUNEY, A.",-0.0169,,"ECON 130L - LLERAS-MUNEY, A."
"SOCIOL 131 - ANDALON, R.",-0.0171,,"SOCIOL 131 - ANDALON, R."
"BIOENGR 10 - LINSLEY, C.",-0.018262218,,"BIOENGR 10 - LINSLEY, C."
"ROMANIA 101A - GALATEANU, G.",-0.0186,,"ROMANIA 101A - GALATEANU, G."
"A&O SCI 101 - KOK, J.F.",-0.019241059,,"A&O SCI 101 - KOK, J.F."
"HIN-URD 1 - MAHAJAN, G.",-0.019610911,,"HIN-URD 1 - MAHAJAN, G."
"SOC WLF 203A - MIYASHITA OCHOA, A",-0.0205,,"SOC WLF 203A - MIYASHITA OCHOA, A"
"COM SCI 239 - XU, H.",-0.020520521,,"COM SCI 239 - XU, H."
"ENGR 96C - KAISER, W.J.",-0.0207,,"ENGR 96C - KAISER, W.J."
"ECON 130 - LLERAS-MUNEY, A.",-0.020845954,,"ECON 130 - LLERAS-MUNEY, A."
"STATS 218 - HANDCOCK, M.S.",-0.0219,,"STATS 218 - HANDCOCK, M.S."
"SPAN 191C - MARTURANO, J.",-0.0231,,"SPAN 191C - MARTURANO, J."
"CHEM 192F - SHAKED, S.",-0.0234,,"CHEM 192F - SHAKED, S."
"MGMT 1B - RAVETCH, D.S.",-0.02394955,,"MGMT 1B - RAVETCH, D.S."
"MGMTFE 428B - SCHEINROCK, J.I.",-0.0241,,"MGMTFE 428B - SCHEINROCK, J.I."
"NURSING 269 - CUENCA, E.L.",-0.024275724,,"NURSING 269 - CUENCA, E.L."
"LIFESCI 192E - SHAKED, S.",-0.0249,,"LIFESCI 192E - SHAKED, S."
"MGMT 407 - HERMAN, A.D.",-0.025425425,,"MGMT 407 - HERMAN, A.D."
"COMM 187 - NEWTON, J.S.",-0.025552747,,"COMM 187 - NEWTON, J.S."
"SPAN 170 - BERGERO, A.J.",-0.0268,,"SPAN 170 - BERGERO, A.J."
"BIOSTAT 100A - GJERTSON, D.W.",-0.0285,,"BIOSTAT 100A - GJERTSON, D.W."
"EDUC 319 - ARIAS, M.S.",-0.029,,"EDUC 319 - ARIAS, M.S."
"EDUC 425 - RAFI, F.H.",-0.029,,"EDUC 425 - RAFI, F.H."
"LAW 248 - BUSSEL, D.J.",-0.02951039,,"LAW 248 - BUSSEL, D.J."
"RUSSN 4 - KUDYMA, A.",-0.03,,"RUSSN 4 - KUDYMA, A."
"MGMTMFE 431 - KRAFT, H.H.",-0.0305,,"MGMTMFE 431 - KRAFT, H.H."
"PUB AFF 60 - PHILLIPS, M.",-0.0308,,"PUB AFF 60 - PHILLIPS, M."
"DESMA 21 - JIANG, Y.",-0.0315,,"DESMA 21 - JIANG, Y."
"LING 165B - LOCCIONI, N.",-0.031761702,,"LING 165B - LOCCIONI, N."
"BIOENGR M182 - DISTEFANO, J.",-0.032,,"BIOENGR M182 - DISTEFANO, J."
"THEATER 1A - GUNN, N.",-0.034534535,,"THEATER 1A - GUNN, N."
"DANCE 9 - FOAAD, L.R.",-0.035,,"DANCE 9 - FOAAD, L.R."
"CHEM 269D - KOEHLER, C.M.",-0.0371,,"CHEM 269D - KOEHLER, C.M."
"IRANIAN 102A - HAGIGI, L.E.",-0.041071071,,"IRANIAN 102A - HAGIGI, L.E."
"EC ENGR 132B - RUBIN, I.",-0.0411,,"EC ENGR 132B - RUBIN, I."
"ECON M188 - ATKESON, A.G.",-0.042,,"ECON M188 - ATKESON, A.G."
"INDO 100A - WIJAYA, J.",-0.042735043,,"INDO 100A - WIJAYA, J."
"SOC SC 401 - KREMER-SADLIK, T.",-0.043043043,,"SOC SC 401 - KREMER-SADLIK, T."
"COMM 10 - SUMAN, M.W.",-0.04377266,,"COMM 10 - SUMAN, M.W."
"EPIDEM M403 - SMITH, L.V.",-0.045045045,,"EPIDEM M403 - SMITH, L.V."
"ECON 41 - HAHN, J.",-0.045697403,,"ECON 41 - HAHN, J."
"RUSSN 101A - KRESIN, S.C.",-0.0473,,"RUSSN 101A - KRESIN, S.C."
"COMM 1 - KOCHIAN, J.",-0.05,,"COMM 1 - KOCHIAN, J."
"ENGL 106 - MO'E'HAHNE, H.",-0.0501,,"ENGL 106 - MO'E'HAHNE, H."
"RELIGN 110 - JOSEPH, S.J.",-0.05035035,,"RELIGN 110 - JOSEPH, S.J."
"MAT SCI 252 - PEI, Q.",-0.050812188,,"MAT SCI 252 - PEI, Q."
"M PHARM 251 - WU, T.",-0.0528,,"M PHARM 251 - WU, T."
"CHEM 228 - CARAM, J.R.",-0.053,,"CHEM 228 - CARAM, J.R."
"LAW 207 - SLEVIN, H.F.",-0.0534,,"LAW 207 - SLEVIN, H.F."
"EDUC 191B - HARRISON, O.C.",-0.0535,,"EDUC 191B - HARRISON, O.C."
"HIST 97C - SILVERMAN, D.L.",-0.0542,,"HIST 97C - SILVERMAN, D.L."
"ECON 106PL - MCDEVITT, E.P.",-0.055825856,,"ECON 106PL - MCDEVITT, E.P."
"RUSSN 100A - KUDYMA, A.",-0.057057057,,"RUSSN 100A - KUDYMA, A."
"MGMT 108 - GUERIN, J.",-0.0572,,"MGMT 108 - GUERIN, J."
"C&EE 91 - SANT, G.",-0.057585972,,"C&EE 91 - SANT, G."
"ENGCOMP 3 - STONE, B.D.",-0.057811588,,"ENGCOMP 3 - STONE, B.D."
"ECON 106P - MCDEVITT, E.P.",-0.058840841,,"ECON 106P - MCDEVITT, E.P."
"EDUC 405A - ARIAS, M.S.",-0.059,,"EDUC 405A - ARIAS, M.S."
"ART 148 - LIN, C.C.",-0.05965196,,"ART 148 - LIN, C.C."
"CHEM 248 - RUBIN, Y.F.",-0.06,,"CHEM 248 - RUBIN, Y.F."
"MGMT 278A - HABIBI, P.B.",-0.0608,,"MGMT 278A - HABIBI, P.B."
"PHYSCI 165 - FRYE, M.A.",-0.0614,,"PHYSCI 165 - FRYE, M.A."
"SOCIOL 210A - GADDIS, S.M.",-0.062062062,,"SOCIOL 210A - GADDIS, S.M."
"INDO 1 - WIJAYA, J.",-0.0623,,"INDO 1 - WIJAYA, J."
"DANCE C113A - TOMITA, N.",-0.0645,,"DANCE C113A - TOMITA, N."
"MGMTFT 408 - HARTMAN-GLASER, B.",-0.065965966,,"MGMTFT 408 - HARTMAN-GLASER, B."
"INTL DV 1 - ANJUM, E.",-0.066183916,,"INTL DV 1 - ANJUM, E."
"MUSCLG 125A - UPTON, E.R.",-0.0663,,"MUSCLG 125A - UPTON, E.R."
"PSYCH 265 - MONTI, M.M.",-0.066818182,,"PSYCH 265 - MONTI, M.M."
"ARCH&UD 401 - LAI, Y.",-0.071471471,,"ARCH&UD 401 - LAI, Y."
"MGMTMSA 434 - VASHCHILENKO, D.",-0.072355556,,"MGMTMSA 434 - VASHCHILENKO, D."
"COM HLT 238 - D'AMICO, E.",-0.073426873,,"COM HLT 238 - D'AMICO, E."
"ETHNMUS 168A - LI, C.",-0.073808008,,"ETHNMUS 168A - LI, C."
"HIN-URD 100A - MAHAJAN, G.",-0.075,,"HIN-URD 100A - MAHAJAN, G."
"ECON 11 - MAZZOCCO, M.",-0.076023976,,"ECON 11 - MAZZOCCO, M."
"THEATER 34A - TOMITA, N.",-0.078660761,,"THEATER 34A - TOMITA, N."
"CHICANO 104 - FRIAS, C.M.",-0.0787,,"CHICANO 104 - FRIAS, C.M."
"MGMT 220 - SUSSMAN, E.H.",-0.080103103,,"MGMT 220 - SUSSMAN, E.H."
"MGMT 228 - CASKEY, J.A.",-0.081218781,,"MGMT 228 - CASKEY, J.A."
"THEATER 24A - WRIGHT, A.R.",-0.0813,,"THEATER 24A - WRIGHT, A.R."
"JEWISH M10 - BONESHO, C.E.",-0.085406964,,"JEWISH M10 - BONESHO, C.E."
"COM SCI 251A - TAMIR, Y.",-0.086266266,,"COM SCI 251A - TAMIR, Y."
"HIST 114A - LANGDON, J.S.",-0.0868,,"HIST 114A - LANGDON, J.S."
"PSYCH 250A - REISE, S.P.",-0.087602498,,"PSYCH 250A - REISE, S.P."
"MGMT 142A - RAVETCH, D.S.",-0.087757343,,"MGMT 142A - RAVETCH, D.S."
"EC ENGR 121B - IYER, S.S.",-0.091035244,,"EC ENGR 121B - IYER, S.S."
"ANTHRO 138P - FISKE, A.P.",-0.093468463,,"ANTHRO 138P - FISKE, A.P."
"MGMT 124 - WILLIAMS, M.G.",-0.094895025,,"MGMT 124 - WILLIAMS, M.G."
"SCAND 134 - BALL, K.A.",-0.0958,,"SCAND 134 - BALL, K.A."
"BIOENGR M260 - LIU, W.",-0.0961,,"BIOENGR M260 - LIU, W."
"MUSC 114A - FLA0GAN LYSY, M.M",-0.097838462,,"MUSC 114A - FLA0GAN LYSY, M.M"
"GERMAN 3 - TAR0WSKA SENEL, M",-0.098571999,,"GERMAN 3 - TAR0WSKA SENEL, M"
"GEOG 250 - LEITNER, H.M.",-0.0999,,"GEOG 250 - LEITNER, H.M."
"EPIDEM 268 - BRADBURY, B.D.",-0.1002002,,"EPIDEM 268 - BRADBURY, B.D."
"BIOENGR 188 - BARBARIE, S.N.",-0.101816284,,"BIOENGR 188 - BARBARIE, S.N."
"DANCE 117B - WARBY, R.K.",-0.105564436,,"DANCE 117B - WARBY, R.K."
"JAPAN 101A - KAWANISHI, Y.",-0.107129129,,"JAPAN 101A - KAWANISHI, Y."
"SOC WLF M290M - KAPLAN, M.S.",-0.1119,,"SOC WLF M290M - KAPLAN, M.S."
"SOCIOL 102 - JEPSON, M.C.",-0.111968569,,"SOCIOL 102 - JEPSON, M.C."
"EPIDEM M204 - ARAH, O.A.",-0.112493894,,"EPIDEM M204 - ARAH, O.A."
"POL SCI 119 - BRANSTETTER, J.G.",-0.113,,"POL SCI 119 - BRANSTETTER, J.G."
"AN N EA 10W - SMOAK, J.D.",-0.11470992,,"AN N EA 10W - SMOAK, J.D."
"A&O SCI 103 - STEWART, A.L.",-0.115947896,,"A&O SCI 103 - STEWART, A.L."
"HNRS 150 - PIRE, F.A.",-0.119588889,,"HNRS 150 - PIRE, F.A."
"ARCH&UD 289 - FRANKEL, R.E.",-0.1204,,"ARCH&UD 289 - FRANKEL, R.E."
"NURSING 220 - VERZEMNIEKS, I.L.",-0.121721722,,"NURSING 220 - VERZEMNIEKS, I.L."
"PUB AFF 120 - KAUFMANN, K.M.",-0.1241,,"PUB AFF 120 - KAUFMANN, K.M."
"COM LIT 2CW - KOMAR, K.L.",-0.126626627,,"COM LIT 2CW - KOMAR, K.L."
"COM SCI 246 - CHO, J.",-0.127537862,,"COM SCI 246 - CHO, J."
