Year,F,M,AI,A,B,L,TW,U,W,T
2011,9,16,0,7,0,2,0,1,15,25
2012,9,16.5,0,7.5,0,2,0,0,16,25.5
2013,10.5,15,0,7,0,2,0,0,16.5,25.5
2014,12,14,0,5,1,2,0,0,18,26
2015,11,13,0,5,1,2,0,0,16,24
2016,11,14,0,5,1,3,0,0,16,25
2017,11.2,16,0,6,1,3,0,0,17.2,27.2
2018,12,16,0,6,1,3,0,0,18,28
Music,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.4,30.7,0,3.1,0.6,1.3,0,0,32,37.1
2011,6.5,28,0,2.8,0,1,0,0,30.7,34.5
2012,6.7,27.3,0,3.4,0,1,0,1,28.6,34
2013,7.2,25.6,0,2.9,0.2,1,0,1,27.7,32.9
2014,6.1,28.5,0,3.5,0.3,1,0,1.3,28.5,34.6
2015,7.3,27.7,0,3.2,0.4,1.4,0,0.8,29.2,35
2016,7.4,27.6,0.2,3.4,0.4,1.5,0,0.5,29,35
2017,9,27.4,0,3.4,0.5,1.5,0,3.9,27.1,36.4
2018,12,27.9,0,3.9,0.6,0.6,0,5.2,29.3,39.9
Musicology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.8,4,0,1,0,0,0,0,8.8,9.8
2011,5,4.5,0,1,0,0,0,1,7.5,9.5
2012,5,5,0,1,0,0,0,0,9,10
2013,5.5,5.5,0,1,0,0.5,0,0,9.5,11
2014,6.8,6.5,0,1,0,0.5,0,0.5,11.3,13.3
2015,7.5,4,0,1,0,0,0,0,10.5,11.5
2016,6,5,0,1.5,0,0,0,0,9.5,11
2017,6.2,6.3,0,1,1,0,0,0,10.5,12.5
2018,6.4,8.5,0.4,1,1,0,0,0.9,11.5,14.8
Naval Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,3,0,0,1,0,0,0,2,3
2011,0,5,0,0,1,2,0,0,2,5
2012,0,5,0,0,0,2,0,0,3,5
2013,0,5,0,0,0,2,0,0,3,5
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0
Nazarian Center for Israel Studies (NCIS),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0.8,0,0,0,0,0,0,0.8,0.8
Neuroscience Interdepartmental Prog,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0.8,0,0,0,0,0,0,0.8,0.8
Nr Eastern Langs & Cultures,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,9.3,14.2,0,0,0,0,0,1.5,22,23.5
2011,9.6,14.7,0,0,0,0,0,0.8,23.6,24.3
2012,10.6,13.3,0,0,0,0,0,0.8,23.2,23.9
2013,13.4,13.8,0,1,0,0,0,1.5,24.7,27.2
2014,13,14.3,0,1,0,0,0,1.1,25.2,27.3
2015,13.1,12.9,0,1,0,0,0,1.5,23.5,26
2016,14,12.9,0,1,0,0,0,1.6,24.3,26.9
2017,12.8,13.3,0,1,0,0,0,2,23.1,26.1
2018,14.1,10.4,0,1,0,0,0,2,21.5,24.5
Nursing,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,52.7,2.2,1.2,6.7,4,3.1,0,1,38.8,54.8
2011,58.8,4.1,1.2,9.5,5,2.3,0,0.2,44.7,62.9
2012,56.7,2,1.2,9.4,4,2.3,0,0.2,41.6,58.7
2013,49.7,1.5,1.2,7.2,2,1.7,0,0.3,38.8,51.2
2014,52.5,1.5,1.1,7.4,2,2.4,0,0.3,40.9,54
2015,50,1.8,1.2,8.9,2,1.7,0,0.3,37.7,51.8
2016,45.2,5.3,1.2,8.4,2,2.2,0,1.4,35.2,50.5
2017,50.7,5.6,1.2,11.1,3,3.1,0,1.5,36.4,56.3
2018,53.7,6.4,2,12.2,3.9,5,0,1.6,35.4,60.1
Occupational & Envtl Health Cntr (CTR O&EH),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,1,0,1,0,0,0,0,0,1
2011,2,3,0,2,0,0,0,0,3,5
2012,2,2,0,2,0,0,0,0,2,4
2013,1,2.5,0,2,0,0,0,0,1.5,3.5
2014,2,2.5,0,2,0,0,0,0,2.5,4.5
2015,1,2.5,0,2,0,0,0,0,1.5,3.5
2016,1,2.5,0,2,0,0,0,0,1.5,3.5
2017,1,1.5,0,2,0,0,0,0,0.5,2.5
2018,1,1,0,2,0,0,0,0,0,2
Philosophy,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.5,13,0,1,0,0,0,0,14.5,15.5
2011,3.5,12.5,0,1,0,0,0,0,15,16
2012,2.5,14.3,0,1,0,0,0,0,15.8,16.8
2013,4,15.7,0,1.5,0,0.5,0,0,17.7,19.7
2014,4,18,0,1,0,0,0,0,21,22
2015,5,20,0,2.5,0,0.5,0,0,22,25
2016,4,18.4,0,2,0,0,0,0,20.4,22.4
2017,4.5,19,0,1,0,0,0,0,21,23.5
2018,6.5,19,0,1,0,0,0,0,23,25.5
Physics & Astronomy,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.7,51,0,8.2,0,2,0,2,44.5,56.7
2011,5.2,49.7,0,7.7,0,2,0,0,45.2,54.8
2012,6.5,50.5,0,9.2,0,2,0,0,45.8,57
2013,7,52.3,0,8.7,0,2,0,0,48.7,59.3
2014,8.5,52.2,0,9.7,0,2.3,0,0,48.8,60.7
2015,10,54.8,0,10.2,0,2,0,1,51.6,64.8
2016,11.3,54.5,0,11.7,0,2,0,0,52.2,65.9
2017,9.5,58.3,0,13.7,0,2,0,0,52.1,67.8
2018,9.5,58.3,0,13.7,0,2,0,9,52.1,67.8
Political Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,11,32.7,0,2,3,1,0,1,36.7,43.7
2011,13.2,30.9,0,3,3,1,0,0.7,36.4,44.1
2012,13,29.8,0,4.5,3,1,0,1.7,32.6,42.8
2013,11,30.8,0,2.5,3,1,0,2.2,33.1,41.8
2014,12,30.3,0,2.5,2,1,0,2.5,34.3,42.3
2015,11,31.9,0,2,2.5,1.5,0,3.2,33.8,42.9
2016,10.5,30.3,0,2,2,2,0,2.5,32.3,40.8
2017,13.5,30.9,0,2,2.5,1.5,0,3.2,35.3,44.4
2018,14.5,30.8,0,2.5,1,1.5,0,5,35.3,45.3
Program in Computing,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,3,0,1,0,0,0,0,2,3
2011,1.5,2,0,1,0,0,0,0,2.5,3.5
2012,1,2.5,0,0.5,0,0,0,0,3,3.5
2013,0,4,0,0,0,0,0,0,4,4
2014,0,4,0,0,0,0,0,0,4,4
2015,0,4.5,0,0.5,0,0,0,0,4,4.5
2016,0,6,0,0,0,1,0,0,5,6
2017,2,6,0,1,0,2,0,0,5,8
2018,2,5.8,0,2,0,2,0,0,3.8,7.8
Psychology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,30.2,38,0,10.5,3,1.2,0,0,53.5,68.2
2011,29.4,39,0,10,3,1,0,0,54.4,68.4
2012,28.8,38,0,10,3,1,0,0,52.8,66.8
2013,31.7,36.3,0,12.8,3,1.8,0,0,50.4,66
2014,32.6,35,0,11,2,3,0,0,51.6,67.6
2015,33.7,34.2,0,12.3,2.5,3.3,0,0,49.9,67.9
2016,35.6,32.1,0,10.9,3,3.7,0,0,50.1,67.7
2017,36.1,31.1,0,11,2,3.8,0,0,50.8,67.5
2018,39.1,31.1,0,13,2,3.8,0,0,51.4,70.2
Public Health,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,1,0,0,1,0,0,0,0,0,1
2012,0,1.7,0,0,0,0,0,0,1.7,1.7
2013,0,0.7,0,0,0,0,0,0,0.7,0.7
2014,0,0.8,0,0,0,0,0,0,0.8,0.8
2015,0,0.8,0,0,0,0,0,0,0.8,0.8
2016,0,0,0,0,0,0,0,0,0,0
2017,0,1,0,0,0,0,0,0,1,1
2018,0.2,0.6,0,0,0,0,0,0.2,0.6,0.8
Public Policy,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4,8.3,0,0,1,0,0,0,11.3,12.3
2011,3,8.3,0,0,1,0,0,0,10.3,11.3
2012,3,8.3,0,0,1,0,0,0,10.3,11.3
2013,2.5,9.4,2.6,0,1,0,0,0,8.3,11.9
2014,3,10.5,3,1,1,0,0,0,8.5,13.5
2015,2,9.3,2,1.5,1,0,0,0,6.8,11.3
2016,3,6,2,1.5,1,0,0,0,4.5,9
2017,3.2,8.5,2.2,1.7,1,0,0,0,6.8,11.7
2018,4.3,8.5,2,3,1,0,0,0,6.8,12.8
Scandanavian Section,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,4.1,0,1,0,0,0,0,4.1,5.1
2011,1,4.6,0,0.8,0,0,0,0,4.9,5.6
2012,1,5.1,0,1,0,0,0,0,5.1,6.1
2013,1,5.1,0,1,0,0,0,0,5.1,6.1
2014,0,5.1,0,1,0,0,0,0,4.1,5.1
2015,0.8,4.4,0,1,0,0,0,0,4.1,5.1
2016,1.8,3.6,0,1,0,0,0,0,4.4,5.4
2017,1.8,2.6,0,1.6,0,0,0,0,2.9,4.4
2018,1.4,2.6,0,1.4,0,0,0,0,2.6,4
"School-wide Programs, LSPA",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0.5,0,0,0,0.3,0,0,0.3,0.5
2011,0.5,0.3,0,0,0,0,0,0,0.8,0.8
2012,1,0.5,0,0,1,0,0,0,0.5,1.5
2013,-,-,-,-,-,-,-,-,-,-
2014,0.5,0.8,0,0,0,0,0,0.5,0.8,1.3
2015,0.5,1.5,0,0,0,0.5,0,1,0.5,2
2016,0.5,0.1,0.5,0,0,0,0,0,0.1,0.6
2017,-,-,-,-,-,-,-,-,-,-
2018,-,-,-,-,-,-,-,-,-,-
"Slavic, East European & Eurasian Langs",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.9,6,0,0,0,0,0,0,12.9,12.9
2011,6.9,6,0,0,0,0,0,0,12.9,12.9
2012,8.4,5.6,0,0,0,0,0,0,14,14
2013,7.7,3.6,0,0,0,0,0,0,11.4,11.4
2014,9.2,4,0,0,0,0,0,0,13.2,13.2
2015,7.9,3.5,0,0,0,0,0,0,11.4,11.4
2016,6.7,3.5,0,0,0,0,0,2,9.2,11.2
2017,6.9,4,0,0,0,0,0,2.4,8.5,10.9
2018,7.2,4.5,0,0,0,0,0,2.9,8.8,11.7
Social Welfare,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,8.2,7.6,0,1,2,1.3,0,0,11.4,15.8
2011,10.3,7.8,0,1.5,2,2.6,0,0,12,18.1
2012,12,5.6,0,1.3,2.6,2.6,0,0.3,10.9,17.6
2013,10,5.4,0.7,1.2,2.6,2.5,0,0,8.5,15.5
2014,11.4,7.7,0.3,1.7,2,3.3,0,0,11.8,19.1
2015,12,6.3,0.4,1.7,2.3,3,0,0,10.9,18.3
2016,13.7,6.7,0,1.7,3,3,0,1.9,10.8,20.4
2017,12.9,5,0.3,1,2,1.3,0,1.9,11.3,17.9
2018,14.7,5.3,0,2,3.3,2,0,2,10.7,20
Sociology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,15.3,25,1,1.5,1.5,4,0,0.5,31.8,40.3
2011,17.3,22.2,1,3,1.5,4,0,0,30,39.5
2012,16.7,21.8,0.8,3,1.5,2.8,0,0,30.3,38.5
2013,15,22.1,0.8,2.5,1.5,2.8,0,0,29.5,37.1
2014,14.7,22.8,1,3,1.5,2.8,0,0,29.2,37.5
2015,14.7,22.3,1,2.5,2.5,2.8,0,0,28.2,37
2016,15.2,19.3,1,4,2,2.8,0,0.5,24.2,34.5
2017,16.2,21,2,2.5,3,2.8,0,1,25.8,37.2
2018,16.2,19.8,2,3,2,2.8,0,0.5,25.7,36
Spanish & Portuguese,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,11.5,10.6,0,0,0,14,0,1.4,6.7,22.1
2011,11.6,9.3,0,0,0,13,0,0.9,7,20.9
2012,12.6,9.8,0,0,0,13.5,0,0,8.9,22.4
2013,11.3,11.8,0,0,0,15.1,0,0,8,23.1
2014,15.5,11.8,0,1,0,14.4,0,1,10.8,27.2
2015,14.1,11.6,0,0,0,17.4,0,1,7.4,25.8
2016,12.6,12.6,0,0,0,15.3,0,1,8.9,25.2
2017,11,14.8,0,1,0,16.3,0,1,7.6,25.8
2018,14.4,17.2,0,1,0,16.8,0,2.2,11.6,31.6
Statistics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.2,11.8,0,5,0,1,0,2.3,8.7,17
2011,3.5,13.2,1,6,0,1,0,1.7,7,16.7
2012,4,12.5,0,6,0,1,0,0,9.5,16.5
2013,4,12.5,0,6,0,1,0,0,9.5,16.5
2014,5,12.8,0,8,0,1,0,0,8.8,17.8
2015,5,14.3,0,8,0,1,0,1,9.3,19.3
2016,5,15.1,0,7,0,1,0,4.1,8,20.1
2017,7.5,15,0,7,0,1,0,6,8.5,22.5
2018,7.5,15,0,7,0,1.5,0,6.5,7.5,22.5
Study of Religion,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-
2012,0.5,0,0,0,0,0,0,0,0.5,0.5
2013,0.4,1.1,0,0,0,0,0,0.4,1.1,1.5
2014,0,0.8,0,0,0,0,0,0,0.8,0.8
2015,-,-,-,-,-,-,-,-,-,-
2016,0,0.9,0,0,0,0,0,0.2,0.8,0.9
2017,0,0.4,0,0,0,0,0,0,0.4,0.4
2018,0.4,0.7,0,0,0,0,0,0.7,0.4,1.1
Theater,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,11.9,19.2,1,1,1,4,0,0,24.1,31
2011,10.9,16.7,1,1,0.4,3.5,0,0,21.6,27.5
2012,8.3,13.2,1,1.2,0,3,0,0.6,15.7,21.6
2013,10,14,1,1.7,0,3.2,0,0,18.2,24
2014,11.1,17,1,1.4,0,4.6,0,0.2,20.9,28.1
2015,11.8,17.7,1,1.6,0.4,4.7,0,1,20.7,29.4
2016,13.1,19.6,1,1.6,1.4,4.1,0,1,23.5,32.7
2017,12.1,19.1,1,2.7,1.3,4,0,1.7,20.5,31.2
2018,14.8,20,1,3.2,2,3.8,0,1.2,23.6,34.8
Urban Planning,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6,10.2,0,2.5,0,1,0,1,11.7,16.2
2011,6,9.7,0,3.5,0,1,0,0,11.2,15.7
2012,5.8,10.9,0.5,3.8,1,1,0,0,10.4,16.7
2013,7,12.1,1.3,3.5,1,1,0,0,12.4,19.1
2014,5.5,12.3,0,3.5,1,1.5,0,0,11.8,17.8
2015,5.3,11.4,0,3.8,1,1.5,0,0,10.4,16.7
2016,4.3,10.3,0,2.8,1,1,0,1,8.8,14.6
2017,5.6,12.4,0,3.5,1,1,0,2.1,10.4,18
2018,7.6,10.9,0,3.5,1,1,0,1.5,11.5,18.5
World Arts & Cultures/Dance,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,10.1,11,0,5.8,1.7,2,0,0,11.7,21.1
2011,10.3,9.7,0,5.3,1.3,2.2,0,0,11.2,20
2012,9.2,10.3,0,6,1.8,1.5,0,0,10.2,19.5
2013,9,9,0,5.3,1,1.2,0,0,10.5,18
2014,9.7,10.7,0,6.3,1.8,1.7,0,0,10.5,20.3
2015,12.8,9.5,0,5.3,0.5,2.2,0,0,14.3,22.3
2016,13,9.5,0,6.5,1.3,1.5,0,0.3,12.8,22.5
2017,12,10.7,0,5.3,1.5,1.3,0,0,14.5,22.7
2018,11.8,11.3,0,4.7,1.8,1.7,0,0,15,23.2
Writing Program,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,17,6.6,0,0.6,0,0,0,0,23,23.6
2011,15.5,6.6,0,0,0,0.5,0,0,21.6,22.1
2012,22.1,7.6,0,1.6,0,0,0,1,27.1,29.6
2013,26.4,7.6,0,1.6,0,2,0,1,29.4,33.9
2014,25.6,6.9,0,1,0,1.7,0,1,28.7,32.4
2015,29.3,10.6,0,1,0,1.7,0,4.6,32.6,39.9
2016,28.3,9.7,0,2,0,1.7,0,4.7,29.6,38
2017,27.3,9.7,0,1,0,1.7,0,5.7,28.6,37
2018,28,11.9,0,0.9,0,3.6,0,6,28.4,39.9
